current_impl interpreter=repo start=2026-09-25T12:53:58Z end=2026-09-25T12:54:07Z rc=0 :: current_impl: 46 scenes -> docs/DISCUSSIONS/2026-09-23_backtest_env/item_0/round_17/materials/runs/current_impl.tsv; {'対応なし': 37, '正解と一致': 8, '不一致': 1}; 2 回で違う=0
opp_quanttrader interpreter=quanttrader start=2026-09-25T13:08:20Z end=2026-09-25T13:08:22Z rc=0 :: opp_quanttrader: 46 scenes -> docs/DISCUSSIONS/2026-09-23_backtest_env/item_0/round_17/materials/runs/opp_quanttrader.tsv; {'対応なし': 33, '正解と一致': 8, '不一致': 5}; 2 回で違う=0
opp_pyalgotrade interpreter=pyalgotrade start=2026-09-25T13:08:22Z end=2026-09-25T13:08:23Z rc=0 :: opp_pyalgotrade: 46 scenes -> docs/DISCUSSIONS/2026-09-23_backtest_env/item_0/round_17/materials/runs/opp_pyalgotrade.tsv; {'対応なし': 27, '正解と一致': 14, '不一致': 5}; 2 回で違う=0
opp_freqtrade interpreter=freqtrade start=2026-09-25T13:08:23Z end=2026-09-25T13:08:32Z rc=0 :: opp_freqtrade: 46 scenes -> docs/DISCUSSIONS/2026-09-23_backtest_env/item_0/round_17/materials/runs/opp_freqtrade.tsv; {'対応なし': 28, '不一致': 15, '正解と一致': 3}; 2 回で違う=0
opp_vnpy interpreter=vnpy start=2026-09-25T13:08:32Z end=2026-09-25T13:08:38Z rc=0 :: opp_vnpy: 46 scenes -> docs/DISCUSSIONS/2026-09-23_backtest_env/item_0/round_17/materials/runs/opp_vnpy.tsv; {'対応なし': 32, '正解と一致': 10, '不一致': 4}; 2 回で違う=0
opp_luczinsritter interpreter=luczinsritter start=2026-09-25T13:08:38Z end=2026-09-25T13:08:42Z rc=0 :: opp_luczinsritter: 46 scenes -> docs/DISCUSSIONS/2026-09-23_backtest_env/item_0/round_17/materials/runs/opp_luczinsritter.tsv; {'対応なし': 42, '不一致': 3, '正解と一致': 1}; 2 回で違う=0
opp_mihircoding_lob interpreter=c98 start=2026-09-25T13:08:42Z end=2026-09-25T13:08:42Z rc=0 :: opp_mihircoding_lob: 46 scenes -> docs/DISCUSSIONS/2026-09-23_backtest_env/item_0/round_17/materials/runs/opp_mihircoding_lob.tsv; {'対応なし': 42, '正解と一致': 3, '不一致': 1}; 2 回で違う=0
opp_nickgardi_orderbooksim interpreter=c99 start=2026-09-25T13:08:42Z end=2026-09-25T13:08:42Z rc=0 :: opp_nickgardi_orderbooksim: 46 scenes -> docs/DISCUSSIONS/2026-09-23_backtest_env/item_0/round_17/materials/runs/opp_nickgardi_orderbooksim.tsv; {'対応なし': 46}; 2 回で違う=0
opp_daniyalmlk_slippage interpreter=c105 start=2026-09-25T13:08:42Z end=2026-09-25T13:08:42Z rc=0 :: opp_daniyalmlk_slippage: 46 scenes -> docs/DISCUSSIONS/2026-09-23_backtest_env/item_0/round_17/materials/runs/opp_daniyalmlk_slippage.tsv; {'対応なし': 44, '不一致': 2}; 2 回で違う=0
opp_akurkar07_orderbook interpreter=c101 start=2026-09-25T13:08:42Z end=2026-09-25T13:08:42Z rc=0 :: opp_akurkar07_orderbook: 46 scenes -> docs/DISCUSSIONS/2026-09-23_backtest_env/item_0/round_17/materials/runs/opp_akurkar07_orderbook.tsv; {'対応なし': 46}; 2 回で違う=0
opp_3yit_lob interpreter=c102 start=2026-09-25T13:08:42Z end=2026-09-25T13:08:42Z rc=0 :: opp_3yit_lob: 46 scenes -> docs/DISCUSSIONS/2026-09-23_backtest_env/item_0/round_17/materials/runs/opp_3yit_lob.tsv; {'対応なし': 46}; 2 回で違う=0
opp_jxm35_lob interpreter=c104 start=2026-09-25T13:08:42Z end=2026-09-25T13:08:43Z rc=0 :: opp_jxm35_lob: 46 scenes -> docs/DISCUSSIONS/2026-09-23_backtest_env/item_0/round_17/materials/runs/opp_jxm35_lob.tsv; {'対応なし': 46}; 2 回で違う=0
opp_pysystemtrade interpreter=c3 start=2026-09-25T13:08:43Z end=2026-09-25T13:08:52Z rc=0 :: opp_pysystemtrade: 46 scenes -> docs/DISCUSSIONS/2026-09-23_backtest_env/item_0/round_17/materials/runs/opp_pysystemtrade.tsv; {'対応なし': 46}; 2 回で違う=0
opp_predictivedev_tradesim interpreter=c37 start=2026-09-25T13:08:52Z end=2026-09-25T13:08:56Z rc=0 :: opp_predictivedev_tradesim: 46 scenes -> docs/DISCUSSIONS/2026-09-23_backtest_env/item_0/round_17/materials/runs/opp_predictivedev_tradesim.tsv; {'対応なし': 32, '正解と一致': 11, '不一致': 3}; 2 回で違う=1
opp_sarthak_execsim@md_latency=default interpreter=c33 start=2026-09-25T13:08:56Z end=2026-09-25T13:08:56Z rc=0 :: opp_sarthak_execsim@md_latency=default: 46 scenes -> docs/DISCUSSIONS/2026-09-23_backtest_env/item_0/round_17/materials/runs/opp_sarthak_execsim@md_latency=default.tsv; {'対応なし': 33, '不一致': 5, '正解と一致': 8}; 2 回で違う=0
opp_sarthak_execsim@md_latency=0 interpreter=c33 start=2026-09-25T13:08:56Z end=2026-09-25T13:08:56Z rc=0 :: opp_sarthak_execsim@md_latency=0: 46 scenes -> docs/DISCUSSIONS/2026-09-23_backtest_env/item_0/round_17/materials/runs/opp_sarthak_execsim@md_latency=0.tsv; {'対応なし': 33, '正解と一致': 11, '不一致': 2}; 2 回で違う=0
opp_sigc interpreter=c107 start=2026-09-25T13:08:56Z end=2026-09-25T13:08:59Z rc=0 :: opp_sigc: 46 scenes -> docs/DISCUSSIONS/2026-09-23_backtest_env/item_0/round_17/materials/runs/opp_sigc.tsv; {'対応なし': 46}; 2 回で違う=0
opp_homerun interpreter=c91 start=2026-09-25T13:08:59Z end=2026-09-25T13:08:59Z rc=0 :: opp_homerun: 46 scenes -> docs/DISCUSSIONS/2026-09-23_backtest_env/item_0/round_17/materials/runs/opp_homerun.tsv; {'対応なし': 46}; 2 回で違う=0
opp_aat interpreter=c65 start=2026-09-25T13:08:59Z end=2026-09-25T13:09:05Z rc=0 :: opp_aat: 46 scenes -> docs/DISCUSSIONS/2026-09-23_backtest_env/item_0/round_17/materials/runs/opp_aat.tsv; {'不一致': 16, '正解と一致': 11, '対応なし': 19}; 2 回で違う=0
opp_gobacktest interpreter=c69 start=2026-09-25T13:09:05Z end=2026-09-25T13:09:06Z rc=0 :: opp_gobacktest: 46 scenes -> docs/DISCUSSIONS/2026-09-23_backtest_env/item_0/round_17/materials/runs/opp_gobacktest.tsv; {'対応なし': 33, '正解と一致': 10, '不一致': 3}; 2 回で違う=0
opp_pineforge@tf=1D interpreter=c70 start=2026-09-25T13:09:06Z end=2026-09-25T13:09:06Z rc=0 :: opp_pineforge@tf=1D: 46 scenes -> docs/DISCUSSIONS/2026-09-23_backtest_env/item_0/round_17/materials/runs/opp_pineforge@tf=1D.tsv; {'対応なし': 34, '正解と一致': 10, '不一致': 2}; 2 回で違う=0
opp_pineforge@tf=1S interpreter=c70 start=2026-09-25T13:09:06Z end=2026-09-25T13:09:06Z rc=0 :: opp_pineforge@tf=1S: 46 scenes -> docs/DISCUSSIONS/2026-09-23_backtest_env/item_0/round_17/materials/runs/opp_pineforge@tf=1S.tsv; {'対応なし': 34, '正解と一致': 10, '不一致': 2}; 2 回で違う=0
opp_barter interpreter=c61 start=2026-09-25T13:09:06Z end=2026-09-25T13:09:07Z rc=0 :: opp_barter: 46 scenes -> docs/DISCUSSIONS/2026-09-23_backtest_env/item_0/round_17/materials/runs/opp_barter.tsv; {'不一致': 16, '正解と一致': 14, '対応なし': 16}; 2 回で違う=0
opp_pytrendfollow interpreter=c87 start=2026-09-25T13:09:07Z end=2026-09-25T13:09:08Z rc=0 :: opp_pytrendfollow: 46 scenes -> docs/DISCUSSIONS/2026-09-23_backtest_env/item_0/round_17/materials/runs/opp_pytrendfollow.tsv; {'対応なし': 46}; 2 回で違う=0
opp_thirupathikannan_execsim interpreter=c35_run/.venv start=2026-09-25T13:09:08Z end=2026-09-25T13:09:09Z rc=0 :: opp_thirupathikannan_execsim: 46 scenes -> docs/DISCUSSIONS/2026-09-23_backtest_env/item_0/round_17/materials/runs/opp_thirupathikannan_execsim.tsv; {'対応なし': 46}; 2 回で違う=0
opp_isaaccheng_obsim interpreter=c103 start=2026-09-25T13:09:09Z end=2026-09-25T13:09:10Z rc=0 :: opp_isaaccheng_obsim: 46 scenes -> docs/DISCUSSIONS/2026-09-23_backtest_env/item_0/round_17/materials/runs/opp_isaaccheng_obsim.tsv; {'対応なし': 46}; 2 回で違う=0
repro_lean52@tick interpreter=repo start=2026-09-25T13:09:10Z end=2026-09-25T13:09:10Z rc=0 :: repro_lean52@tick: 46 scenes -> docs/DISCUSSIONS/2026-09-23_backtest_env/item_0/round_17/materials/runs/repro_lean52@tick.tsv; {'対応なし': 9, '正解と一致': 3, '結果なし': 31, '不一致': 3}; 2 回で違う=0
repro_lean52@second interpreter=repo start=2026-09-25T13:09:10Z end=2026-09-25T13:09:12Z rc=0 :: repro_lean52@second: 46 scenes -> docs/DISCUSSIONS/2026-09-23_backtest_env/item_0/round_17/materials/runs/repro_lean52@second.tsv; {'不一致': 3, '正解と一致': 7, '結果なし': 31, '対応なし': 5}; 2 回で違う=0
repro_lean52@minute interpreter=repo start=2026-09-25T13:09:12Z end=2026-09-25T13:09:13Z rc=0 :: repro_lean52@minute: 46 scenes -> docs/DISCUSSIONS/2026-09-23_backtest_env/item_0/round_17/materials/runs/repro_lean52@minute.tsv; {'不一致': 3, '正解と一致': 7, '結果なし': 31, '対応なし': 5}; 2 回で違う=0
repro_lean52@hour interpreter=repo start=2026-09-25T13:09:13Z end=2026-09-25T13:09:15Z rc=0 :: repro_lean52@hour: 46 scenes -> docs/DISCUSSIONS/2026-09-23_backtest_env/item_0/round_17/materials/runs/repro_lean52@hour.tsv; {'不一致': 3, '正解と一致': 7, '結果なし': 31, '対応なし': 5}; 2 回で違う=0
repro_lean52@daily interpreter=repo start=2026-09-25T13:09:15Z end=2026-09-25T13:09:16Z rc=0 :: repro_lean52@daily: 46 scenes -> docs/DISCUSSIONS/2026-09-23_backtest_env/item_0/round_17/materials/runs/repro_lean52@daily.tsv; {'不一致': 3, '正解と一致': 7, '結果なし': 31, '対応なし': 5}; 2 回で違う=0
repro_lean52@tick+second:trade interpreter=repo start=2026-09-25T13:09:16Z end=2026-09-25T13:09:17Z rc=0 :: repro_lean52@tick+second:trade: 46 scenes -> docs/DISCUSSIONS/2026-09-23_backtest_env/item_0/round_17/materials/runs/repro_lean52@tick+second:trade.tsv; {'対応なし': 8, '正解と一致': 3, '結果なし': 31, '不一致': 4}; 2 回で違う=0
repro_lean52@tick+second:bar interpreter=repo start=2026-09-25T13:09:17Z end=2026-09-25T13:09:18Z rc=0 :: repro_lean52@tick+second:bar: 46 scenes -> docs/DISCUSSIONS/2026-09-23_backtest_env/item_0/round_17/materials/runs/repro_lean52@tick+second:bar.tsv; {'対応なし': 8, '正解と一致': 3, '結果なし': 31, '不一致': 4}; 2 回で違う=0
repro_lean52@tick+minute:trade interpreter=repo start=2026-09-25T13:09:18Z end=2026-09-25T13:09:18Z rc=0 :: repro_lean52@tick+minute:trade: 46 scenes -> docs/DISCUSSIONS/2026-09-23_backtest_env/item_0/round_17/materials/runs/repro_lean52@tick+minute:trade.tsv; {'対応なし': 8, '正解と一致': 3, '結果なし': 31, '不一致': 4}; 2 回で違う=0
repro_lean52@tick+minute:bar interpreter=repo start=2026-09-25T13:09:18Z end=2026-09-25T13:09:19Z rc=0 :: repro_lean52@tick+minute:bar: 46 scenes -> docs/DISCUSSIONS/2026-09-23_backtest_env/item_0/round_17/materials/runs/repro_lean52@tick+minute:bar.tsv; {'対応なし': 8, '正解と一致': 3, '結果なし': 31, '不一致': 4}; 2 回で違う=0
repro_lean52@tick+hour:trade interpreter=repo start=2026-09-25T13:09:19Z end=2026-09-25T13:09:20Z rc=0 :: repro_lean52@tick+hour:trade: 46 scenes -> docs/DISCUSSIONS/2026-09-23_backtest_env/item_0/round_17/materials/runs/repro_lean52@tick+hour:trade.tsv; {'対応なし': 8, '正解と一致': 3, '結果なし': 31, '不一致': 4}; 2 回で違う=0
repro_lean52@tick+hour:bar interpreter=repo start=2026-09-25T13:09:20Z end=2026-09-25T13:09:21Z rc=0 :: repro_lean52@tick+hour:bar: 46 scenes -> docs/DISCUSSIONS/2026-09-23_backtest_env/item_0/round_17/materials/runs/repro_lean52@tick+hour:bar.tsv; {'対応なし': 8, '正解と一致': 3, '結果なし': 31, '不一致': 4}; 2 回で違う=0
repro_lean52@tick+daily:trade interpreter=repo start=2026-09-25T13:09:21Z end=2026-09-25T13:09:21Z rc=0 :: repro_lean52@tick+daily:trade: 46 scenes -> docs/DISCUSSIONS/2026-09-23_backtest_env/item_0/round_17/materials/runs/repro_lean52@tick+daily:trade.tsv; {'対応なし': 8, '正解と一致': 3, '結果なし': 31, '不一致': 4}; 2 回で違う=0
repro_lean52@tick+daily:bar interpreter=repo start=2026-09-25T13:09:21Z end=2026-09-25T13:09:22Z rc=0 :: repro_lean52@tick+daily:bar: 46 scenes -> docs/DISCUSSIONS/2026-09-23_backtest_env/item_0/round_17/materials/runs/repro_lean52@tick+daily:bar.tsv; {'対応なし': 8, '正解と一致': 3, '結果なし': 31, '不一致': 4}; 2 回で違う=0
opp_fast_trade interpreter=fast-trade-r17 start=2026-09-25T13:23:34Z end=2026-09-25T13:23:38Z rc=0 :: opp_fast_trade: 46 scenes -> docs/DISCUSSIONS/2026-09-23_backtest_env/item_0/round_17/materials/runs/opp_fast_trade.tsv; {'対応なし': 46}; 2 回で違う=0
ALL_DONE
