格子,entry_s,hold_s,判断,枝,n,含む日数,中央値,p25,p75,負の割合,日等重み平均,日クラスタSE
主(t0+1s→60s),1,60,rule_9,続く,17684,224,-1.666468,-12.508740,9.247964,0.543768,-1.698520,0.414249
主(t0+1s→60s),1,60,rule_9,止まる,12456,228,0.508535,-6.092594,6.874619,0.476317,0.253430,0.168092
主(t0+1s→60s),1,60,rule_10,続く,4338,112,-1.880863,-12.778806,8.751565,0.549331,-3.071501,0.722948
主(t0+1s→60s),1,60,rule_10,止まる,10965,133,1.084371,-6.779860,9.014403,0.457547,0.925284,0.382917
主(t0+1s→60s),1,60,rule_11,続く,9364,227,-1.067526,-11.115537,9.091597,0.530756,-1.181697,0.421306
主(t0+1s→60s),1,60,rule_11,止まる,20798,228,1.024207,-7.082519,9.169699,0.461823,0.969299,0.249048
主(t0+1s→60s),1,60,rule_12,続く,17634,227,-1.578718,-12.671736,9.377457,0.540944,-1.732618,0.425338
主(t0+1s→60s),1,60,rule_12,止まる,0,0,,,,,,
主(t0+1s→60s),1,60,rule_13,続く,16408,226,-1.221285,-10.734897,8.245873,0.538335,-1.193402,0.377279
主(t0+1s→60s),1,60,rule_13,止まる,13732,228,0.834470,-7.045249,8.782578,0.468395,0.725438,0.269914
主(t0+1s→60s),1,60,rule_14,続く,18399,224,-1.752533,-13.612411,10.353255,0.540845,-2.014313,0.430813
主(t0+1s→60s),1,60,rule_14,止まる,11763,228,0.525650,-4.970506,5.970735,0.472584,0.040747,0.149779
主(t0+1s→60s),1,60,rule_15,続く,17783,228,-1.134560,-10.104453,7.853050,0.538267,-1.136099,0.331104
主(t0+1s→60s),1,60,rule_15,止まる,12375,226,0.906559,-7.503247,9.354172,0.468687,0.781034,0.290203
主(t0+1s→60s),1,60,rule_combo,続く,17110,224,-1.674409,-13.709129,10.447686,0.539100,-2.070182,0.445564
主(t0+1s→60s),1,60,rule_combo,止まる,13052,228,0.623221,-5.248942,6.449044,0.468894,0.189225,0.128835
主(t0+1s→60s),1,60,jev,続く,0,0,,,,,,
主(t0+1s→60s),1,60,jev,止まる,0,0,,,,,,
主(t0+1s→60s),1,60,all_continue,続く,30162,228,-1.029725,-9.729680,7.708175,0.534646,-1.021146,0.268649
主(t0+1s→60s),1,60,all_continue,止まる,0,0,,,,,,
主(t0+1s→60s),1,60,all_stop,続く,0,0,,,,,,
主(t0+1s→60s),1,60,all_stop,止まる,30162,228,1.029725,-7.708175,9.729680,0.463829,1.021146,0.268649
主(t0+1s→60s),1,60,perfect,続く,17634,227,3.331377,-7.108143,14.218486,0.404503,3.027189,0.438308
主(t0+1s→60s),1,60,perfect,止まる,12528,228,4.629772,-0.621586,11.817356,0.280172,5.933151,0.340940
副,1,300,rule_combo,続く,17110,224,-6.388476,-28.875917,18.056362,0.575453,-6.228976,1.359361
副,1,300,rule_combo,止まる,13052,228,1.988874,-10.886246,13.611670,0.449433,1.128671,0.402087
副,1,300,perfect,続く,17634,227,-0.921269,-21.316135,20.976892,0.513270,-0.605064,1.299581
副,1,300,perfect,止まる,12528,228,6.091386,-6.615090,20.141067,0.362787,6.646755,0.313973
副,3,30,rule_combo,続く,17110,224,-0.859788,-9.698066,7.499380,0.531853,-1.470612,0.364016
副,3,30,rule_combo,止まる,13052,228,0.382625,-3.824006,4.553521,0.467668,0.124987,0.100323
副,3,30,perfect,続く,17634,227,2.281537,-4.997237,9.889121,0.404389,1.940668,0.360340
副,3,30,perfect,止まる,12528,228,3.061452,-0.609363,8.291776,0.288554,3.982575,0.231186
副,3,60,rule_combo,続く,17110,224,-1.288390,-13.760532,10.417751,0.533139,-1.783956,0.447371
副,3,60,rule_combo,止まる,13052,228,0.597758,-5.433399,6.287202,0.468740,0.131624,0.130906
副,3,60,perfect,続く,17634,227,3.041771,-7.810551,14.004294,0.413689,2.665494,0.425718
副,3,60,perfect,止まる,12528,228,4.053878,-1.221852,10.935468,0.300846,5.167792,0.302893
副,3,300,rule_combo,続く,17110,224,-6.122431,-28.585164,18.408021,0.573700,-5.944227,1.318576
副,3,300,rule_combo,止まる,13052,228,1.908121,-11.051945,13.524818,0.453724,1.063256,0.406341
副,3,300,perfect,続く,17634,227,-1.371386,-21.824466,20.759753,0.517183,-0.953830,1.266631
副,3,300,perfect,止まる,12528,228,5.574333,-7.136933,19.228726,0.375319,5.881436,0.283239
副,5,30,rule_combo,続く,17110,224,-0.635546,-9.235492,7.694265,0.522735,-0.956420,0.333036
副,5,30,rule_combo,止まる,13052,228,0.255330,-3.817865,4.397983,0.474027,0.040623,0.096519
副,5,30,perfect,続く,17634,227,2.323071,-5.013204,9.913990,0.403822,2.130741,0.335086
副,5,30,perfect,止まる,12528,228,2.716104,-0.910340,7.816987,0.307072,3.569837,0.228566
副,5,60,rule_combo,続く,17110,224,-1.121188,-13.351488,10.791069,0.527995,-1.355208,0.446537
副,5,60,rule_combo,止まる,13052,228,0.393995,-5.456634,6.121701,0.476862,0.036594,0.129475
副,5,60,perfect,続く,17634,227,2.904999,-8.081628,13.893098,0.418963,2.707549,0.416482
副,5,60,perfect,止まる,12528,228,3.617769,-1.718431,10.304815,0.323356,4.632710,0.287236
副,5,300,rule_combo,続く,17110,224,-5.900764,-27.994244,18.538885,0.569082,-5.429348,1.271678
副,5,300,rule_combo,止まる,13052,228,1.763676,-11.117412,13.432209,0.455639,0.960009,0.407755
副,5,300,perfect,続く,17634,227,-1.334375,-21.881732,20.552427,0.518600,-0.868835,1.231762
副,5,300,perfect,止まる,12528,228,5.237825,-7.790774,18.547947,0.385776,5.317760,0.271991
