target	scene_id	viewpoint	kind	correctness	correctness_run2	reproducibility	status_1	output_1	status_2	output_2	expected	detail_1	provenance_1	choose	settings_1	types_1
opp_homerun	p3-bar	P0-3	capability	対応なし	対応なし	2 回の実行で同じ	not_supported	null	not_supported	null	"{""fields"": {""close"": 100.5, ""high"": 101.0, ""low"": 99.0, ""open"": 100.0, ""volume"": 12.0}, ""sequence"": [[""bar"", 1700092800000000000]]}"	homerun の検証は板の写真(BookSnapshot)の列を再生し、入りの注文は走る前に作った TradeIntent の列から出す形で、戦略は建玉があるときの should_exit と約定・取消の知らせにしか呼ばれない。事象ごとに戦略を呼ぶ口・走っている間に戦略が発注する口・約定・足・資金調達・清算・時計の型が無い。試したこと: BacktestEngine(strategy=<記録する戦略>).run(book_source=InMemoryBookReplay(3 枚), trade_intents=[]) -> 戦略が呼ばれた回数 0、約定 0(建玉の無い戦略は事象ごとに呼ばれず、入りは走る前に作った TradeIntent だけ)	null	{}	[]	null
opp_homerun	p3-funding	P0-3	capability	対応なし	対応なし	2 回の実行で同じ	not_supported	null	not_supported	null	"{""fields"": {""rate"": 0.0001}, ""sequence"": [[""funding"", 1700092800000000000]]}"	homerun の検証は板の写真(BookSnapshot)の列を再生し、入りの注文は走る前に作った TradeIntent の列から出す形で、戦略は建玉があるときの should_exit と約定・取消の知らせにしか呼ばれない。事象ごとに戦略を呼ぶ口・走っている間に戦略が発注する口・約定・足・資金調達・清算・時計の型が無い。試したこと: BacktestEngine(strategy=<記録する戦略>).run(book_source=InMemoryBookReplay(3 枚), trade_intents=[]) -> 戦略が呼ばれた回数 0、約定 0(建玉の無い戦略は事象ごとに呼ばれず、入りは走る前に作った TradeIntent だけ)	null	{}	[]	null
opp_homerun	p3-liquidation	P0-3	capability	対応なし	対応なし	2 回の実行で同じ	not_supported	null	not_supported	null	"{""fields"": {""price"": 4990000.0, ""qty"": 0.2, ""side"": ""sell""}, ""sequence"": [[""liquidation"", 1700092800000000000]]}"	homerun の検証は板の写真(BookSnapshot)の列を再生し、入りの注文は走る前に作った TradeIntent の列から出す形で、戦略は建玉があるときの should_exit と約定・取消の知らせにしか呼ばれない。事象ごとに戦略を呼ぶ口・走っている間に戦略が発注する口・約定・足・資金調達・清算・時計の型が無い。試したこと: BacktestEngine(strategy=<記録する戦略>).run(book_source=InMemoryBookReplay(3 枚), trade_intents=[]) -> 戦略が呼ばれた回数 0、約定 0(建玉の無い戦略は事象ごとに呼ばれず、入りは走る前に作った TradeIntent だけ)	null	{}	[]	null
opp_homerun	p3-mixed-one-run	P0-3	value	対応なし	対応なし	2 回の実行で同じ	not_supported	null	not_supported	null	"{""sequence"": [[""trade"", 1700092800000000000], [""book_snapshot"", 1700179200000000000], [""book_delta"", 1700265600000000000], [""bar"", 1700352000000000000], [""funding"", 1700438400000000000], [""liquidation"", 1700524800000000000]]}"	homerun の検証は板の写真(BookSnapshot)の列を再生し、入りの注文は走る前に作った TradeIntent の列から出す形で、戦略は建玉があるときの should_exit と約定・取消の知らせにしか呼ばれない。事象ごとに戦略を呼ぶ口・走っている間に戦略が発注する口・約定・足・資金調達・清算・時計の型が無い。試したこと: BacktestEngine(strategy=<記録する戦略>).run(book_source=InMemoryBookReplay(3 枚), trade_intents=[]) -> 戦略が呼ばれた回数 0、約定 0(建玉の無い戦略は事象ごとに呼ばれず、入りは走る前に作った TradeIntent だけ)	null	{}	[]	null
opp_homerun	p3-clock-timer	P0-3	capability	対応なし	対応なし	2 回の実行で同じ	not_supported	null	not_supported	null	"{""clock_calls_ns"": [1700352000000000000]}"	homerun の検証は板の写真(BookSnapshot)の列を再生し、入りの注文は走る前に作った TradeIntent の列から出す形で、戦略は建玉があるときの should_exit と約定・取消の知らせにしか呼ばれない。事象ごとに戦略を呼ぶ口・走っている間に戦略が発注する口・約定・足・資金調達・清算・時計の型が無い。試したこと: BacktestEngine(strategy=<記録する戦略>).run(book_source=InMemoryBookReplay(3 枚), trade_intents=[]) -> 戦略が呼ばれた回数 0、約定 0(建玉の無い戦略は事象ごとに呼ばれず、入りは走る前に作った TradeIntent だけ)	null	{}	[]	null
opp_homerun	p3-notice-accepted	P0-3	capability	対応なし	対応なし	2 回の実行で同じ	not_supported	null	not_supported	null	"{""notices"": [""accepted""]}"	homerun の検証は板の写真(BookSnapshot)の列を再生し、入りの注文は走る前に作った TradeIntent の列から出す形で、戦略は建玉があるときの should_exit と約定・取消の知らせにしか呼ばれない。事象ごとに戦略を呼ぶ口・走っている間に戦略が発注する口・約定・足・資金調達・清算・時計の型が無い。試したこと: BacktestEngine(strategy=<記録する戦略>).run(book_source=InMemoryBookReplay(3 枚), trade_intents=[]) -> 戦略が呼ばれた回数 0、約定 0(建玉の無い戦略は事象ごとに呼ばれず、入りは走る前に作った TradeIntent だけ)	null	{}	[]	null
opp_homerun	p3-notice-rejected	P0-3	capability	対応なし	対応なし	2 回の実行で同じ	not_supported	null	not_supported	null	"{""notices"": [""rejected""]}"	homerun の検証は板の写真(BookSnapshot)の列を再生し、入りの注文は走る前に作った TradeIntent の列から出す形で、戦略は建玉があるときの should_exit と約定・取消の知らせにしか呼ばれない。事象ごとに戦略を呼ぶ口・走っている間に戦略が発注する口・約定・足・資金調達・清算・時計の型が無い。試したこと: BacktestEngine(strategy=<記録する戦略>).run(book_source=InMemoryBookReplay(3 枚), trade_intents=[]) -> 戦略が呼ばれた回数 0、約定 0(建玉の無い戦略は事象ごとに呼ばれず、入りは走る前に作った TradeIntent だけ)	null	{}	[]	null
opp_homerun	p3-notice-filled	P0-3	capability	対応なし	対応なし	2 回の実行で同じ	not_supported	null	not_supported	null	"{""filled_qty_in_notices"": 1.0}"	homerun の検証は板の写真(BookSnapshot)の列を再生し、入りの注文は走る前に作った TradeIntent の列から出す形で、戦略は建玉があるときの should_exit と約定・取消の知らせにしか呼ばれない。事象ごとに戦略を呼ぶ口・走っている間に戦略が発注する口・約定・足・資金調達・清算・時計の型が無い。試したこと: BacktestEngine(strategy=<記録する戦略>).run(book_source=InMemoryBookReplay(3 枚), trade_intents=[]) -> 戦略が呼ばれた回数 0、約定 0(建玉の無い戦略は事象ごとに呼ばれず、入りは走る前に作った TradeIntent だけ)	null	{}	[]	null
opp_homerun	p4-visible-at-step	P0-4	value	対応なし	対応なし	2 回の実行で同じ	not_supported	null	not_supported	null	"{""max_visible_close"": 103.0, ""visible_count"": 4}"	homerun の検証は板の写真(BookSnapshot)の列を再生し、入りの注文は走る前に作った TradeIntent の列から出す形で、戦略は建玉があるときの should_exit と約定・取消の知らせにしか呼ばれない。事象ごとに戦略を呼ぶ口・走っている間に戦略が発注する口・約定・足・資金調達・清算・時計の型が無い。試したこと: BacktestEngine(strategy=<記録する戦略>).run(book_source=InMemoryBookReplay(3 枚), trade_intents=[]) -> 戦略が呼ばれた回数 0、約定 0(建玉の無い戦略は事象ごとに呼ばれず、入りは走る前に作った TradeIntent だけ)	null	{}	[]	null
opp_homerun	p4-received-time	P0-4	value	対応なし	対応なし	2 回の実行で同じ	not_supported	null	not_supported	null	"{""price101_delivered_at_ns"": 1700265600000000000, ""price101_visible_at_day2"": false, ""price101_visible_at_day4"": true}"	homerun の検証は板の写真(BookSnapshot)の列を再生し、入りの注文は走る前に作った TradeIntent の列から出す形で、戦略は建玉があるときの should_exit と約定・取消の知らせにしか呼ばれない。事象ごとに戦略を呼ぶ口・走っている間に戦略が発注する口・約定・足・資金調達・清算・時計の型が無い。試したこと: BacktestEngine(strategy=<記録する戦略>).run(book_source=InMemoryBookReplay(3 枚), trade_intents=[]) -> 戦略が呼ばれた回数 0、約定 0(建玉の無い戦略は事象ごとに呼ばれず、入りは走る前に作った TradeIntent だけ)	null	{}	[]	null
opp_homerun	p4-future-read-attempt	P0-4	capability	対応なし	対応なし	2 回の実行で同じ	not_supported	null	not_supported	null	"{""every_attempt_stopped_by_error"": true, ""future_value_obtained"": false}"	homerun の検証は板の写真(BookSnapshot)の列を再生し、入りの注文は走る前に作った TradeIntent の列から出す形で、戦略は建玉があるときの should_exit と約定・取消の知らせにしか呼ばれない。事象ごとに戦略を呼ぶ口・走っている間に戦略が発注する口・約定・足・資金調達・清算・時計の型が無い。試したこと: BacktestEngine(strategy=<記録する戦略>).run(book_source=InMemoryBookReplay(3 枚), trade_intents=[]) -> 戦略が呼ばれた回数 0、約定 0(建玉の無い戦略は事象ごとに呼ばれず、入りは走る前に作った TradeIntent だけ)	null	{}	[]	null
opp_homerun	p5-same-time-twice	P0-5	value	対応なし	対応なし	2 回の実行で同じ	not_supported	null	not_supported	null	"{""delivered_as_multiset"": [[""bar"", 1700092800000000000], [""book_delta"", 1700092800000000000], [""book_snapshot"", 1700092800000000000], [""trade"", 1700092800000000000]], ""follows_stated_rule"": true}"	型の選び方(runner、第 r8-1 回): 設定つき対象の持つ型 [] は 0 種で、この場面の最低 2 種に足りない(同じ実行の p3 の採点: p3-trade: 対応なし / p3-book_snapshot: 対応なし / p3-book_delta: 対応なし / p3-bar: 対応なし / p3-funding: 対応なし / p3-liquidation: 対応なし)	null	{}	[]	null
opp_homerun	p5-hand-over-order	P0-5	capability	対応なし	対応なし	2 回の実行で同じ	not_supported	null	not_supported	null	"{""every_run_delivers_each_once"": true, ""every_run_follows_stated_rule"": true, ""same_order_whatever_the_hand_over"": true}"	型の選び方(runner、第 r8-1 回): 設定つき対象の持つ型 [] は 0 種で、この場面の最低 2 種に足りない(同じ実行の p3 の採点: p3-trade: 対応なし / p3-book_snapshot: 対応なし / p3-book_delta: 対応なし / p3-bar: 対応なし / p3-funding: 対応なし / p3-liquidation: 対応なし)	null	{}	[]	null
opp_homerun	p5-same-stream-order	P0-5	value	対応なし	対応なし	2 回の実行で同じ	not_supported	null	not_supported	null	"{""prices"": [101.0, 99.0, 100.0]}"	homerun の検証は板の写真(BookSnapshot)の列を再生し、入りの注文は走る前に作った TradeIntent の列から出す形で、戦略は建玉があるときの should_exit と約定・取消の知らせにしか呼ばれない。事象ごとに戦略を呼ぶ口・走っている間に戦略が発注する口・約定・足・資金調達・清算・時計の型が無い。試したこと: BacktestEngine(strategy=<記録する戦略>).run(book_source=InMemoryBookReplay(3 枚), trade_intents=[]) -> 戦略が呼ばれた回数 0、約定 0(建玉の無い戦略は事象ごとに呼ばれず、入りは走る前に作った TradeIntent だけ)	null	{}	[]	null
opp_homerun	p6-place-then-cancel	P0-6	value	対応なし	対応なし	2 回の実行で同じ	not_supported	null	not_supported	null	"{""open_at_call2"": 1, ""open_at_call3"": 0}"	homerun の検証は板の写真(BookSnapshot)の列を再生し、入りの注文は走る前に作った TradeIntent の列から出す形で、戦略は建玉があるときの should_exit と約定・取消の知らせにしか呼ばれない。事象ごとに戦略を呼ぶ口・走っている間に戦略が発注する口・約定・足・資金調達・清算・時計の型が無い。試したこと: BacktestEngine(strategy=<記録する戦略>).run(book_source=InMemoryBookReplay(3 枚), trade_intents=[]) -> 戦略が呼ばれた回数 0、約定 0(建玉の無い戦略は事象ごとに呼ばれず、入りは走る前に作った TradeIntent だけ)	null	{}	[]	null
opp_homerun	p6-cancel-notice	P0-6	capability	対応なし	対応なし	2 回の実行で同じ	not_supported	null	not_supported	null	"{""cancel_notice_received"": true}"	homerun の検証は板の写真(BookSnapshot)の列を再生し、入りの注文は走る前に作った TradeIntent の列から出す形で、戦略は建玉があるときの should_exit と約定・取消の知らせにしか呼ばれない。事象ごとに戦略を呼ぶ口・走っている間に戦略が発注する口・約定・足・資金調達・清算・時計の型が無い。試したこと: BacktestEngine(strategy=<記録する戦略>).run(book_source=InMemoryBookReplay(3 枚), trade_intents=[]) -> 戦略が呼ばれた回数 0、約定 0(建玉の無い戦略は事象ごとに呼ばれず、入りは走る前に作った TradeIntent だけ)	null	{}	[]	null
opp_homerun	p6-fill-seen-by-strategy	P0-6	capability	対応なし	対応なし	2 回の実行で同じ	not_supported	null	not_supported	null	"{""filled_qty_at_call3"": 1.0}"	homerun の検証は板の写真(BookSnapshot)の列を再生し、入りの注文は走る前に作った TradeIntent の列から出す形で、戦略は建玉があるときの should_exit と約定・取消の知らせにしか呼ばれない。事象ごとに戦略を呼ぶ口・走っている間に戦略が発注する口・約定・足・資金調達・清算・時計の型が無い。試したこと: BacktestEngine(strategy=<記録する戦略>).run(book_source=InMemoryBookReplay(3 枚), trade_intents=[]) -> 戦略が呼ばれた回数 0、約定 0(建玉の無い戦略は事象ごとに呼ばれず、入りは走る前に作った TradeIntent だけ)	null	{}	[]	null
opp_homerun	p7-fill-model-swap	P0-7	capability	対応なし	対応なし	2 回の実行で同じ	not_supported	null	not_supported	null	"{""fill_price"": 12345.0}"	埋まる値を決める模型を渡す口が無い(fill_model_snapshot は約定する確率の模型、ImpactModel は板の深さに応じた悪化の bp、値は板の値)。試したこと: 既定の設定で T0 に買い 1 -> 約定 []、拒否 1	null	{}	[]	null
opp_homerun	p7-latency-model-swap	P0-7	capability	対応なし	対応なし	2 回の実行で同じ	not_supported	null	not_supported	null	"{""fill_time_ns"": 1700006400007000000}"	場(Venue)が値 100 の注文を拒否した(既定の PolymarketVenue は値 0.01..0.99。場の規則は既定の守りなので外さない)。試したこと: BacktestConfig(latency=LatencyModel.deterministic(submit_ms=7))、T0 に買い 1 の TradeIntent(IOC、指値 100) -> 約定 0、拒否 1	null	{}	[]	null
opp_homerun	p7-cost-model-swap	P0-7	capability	対応なし	対応なし	2 回の実行で同じ	not_supported	null	not_supported	null	"{""fee"": 0.5}"	場(Venue)が値 100 の注文を拒否した(既定の PolymarketVenue は値 0.01..0.99。場の規則は既定の守りなので外さない)。試したこと: BacktestConfig(fees=FeeModel(per_fill_gas_usd=0.5)(約定 1 件の定額の口))、T0 に買い 1.0 の TradeIntent(IOC、指値 100) -> 約定 0、拒否 1	null	{}	[]	null
opp_homerun	p7-cost-per-unit	P0-7	value	対応なし	対応なし	2 回の実行で同じ	not_supported	null	not_supported	null	"{""fee"": 0.75}"	数量あたりの額を渡す口が無い(FeeModel は率(bps)・約定 1 件の gas・Polymarket の取り手の曲線の設定で、fill_fee(price, size, ...) を差し替える口は BacktestConfig に無い)。試したこと: BacktestConfig(fees=FeeModel(per_fill_gas_usd=0))、T0 に買い 2.0 の TradeIntent(IOC、指値 100)。約定の fee_usd の合計。約定 []、拒否 0、取消 1(既定の場は値 0.01..0.99)	null	{}	[]	null
opp_homerun	p7-account-swap	P0-7	capability	対応なし	対応なし	2 回の実行で同じ	not_supported	null	not_supported	null	"{""account_recorded_fill_qty"": [1.0]}"	口座(Portfolio)は BacktestEngine が PortfolioConfig から作り、差し替える口が無い(BacktestConfig.portfolio は設定の値)	null	{}	[]	null
