費用,c_bp,方策,型,遅れ_秒,中央値,p25,p75,負の割合,日等重み平均,日クラスタSE,n,日数,建玉の回数の平均,保有秒の中央値,入らなかった割合,0として含めたか
費用なし,0.000000,logistic_2値0.5,B,2,0.029179,-4.308022,4.764884,0.480000,0.759360,0.971885,200,122,1.085000,60.000000,0.000000,0
費用なし,0.000000,logistic_2値基準率,A,0.500000,0.422634,-4.109356,5.411889,0.440000,0.283948,0.942622,200,122,1.130000,60.000000,0.000000,1
費用なし,0.000000,logistic_2値基準率,A,0.500000,0.422634,-4.109356,5.411889,0.440000,0.283948,0.942622,200,122,1.130000,60.000000,0.000000,0
費用なし,0.000000,logistic_2値基準率,A,1,0.500538,-4.028672,5.543688,0.445000,0.652310,0.862455,200,122,1.130000,60.000000,0.000000,1
費用なし,0.000000,logistic_2値基準率,A,1,0.500538,-4.028672,5.543688,0.445000,0.652310,0.862455,200,122,1.130000,60.000000,0.000000,0
費用なし,0.000000,logistic_2値基準率,A,2,0.561514,-3.436483,5.483280,0.450000,1.027242,0.812100,200,122,1.130000,60.000000,0.000000,1
費用なし,0.000000,logistic_2値基準率,A,2,0.561514,-3.436483,5.483280,0.450000,1.027242,0.812100,200,122,1.130000,60.000000,0.000000,0
費用なし,0.000000,logistic_2値基準率,B,0.500000,0.500538,-5.079311,5.387331,0.435000,-0.529184,1.300094,200,122,1.250000,60.000000,0.000000,1
費用なし,0.000000,logistic_2値基準率,B,0.500000,0.500538,-5.079311,5.387331,0.435000,-0.529184,1.300094,200,122,1.250000,60.000000,0.000000,0
費用なし,0.000000,logistic_2値基準率,B,1,0.468742,-4.143881,5.246304,0.460000,0.271070,1.043162,200,122,1.250000,60.000000,0.000000,1
費用なし,0.000000,logistic_2値基準率,B,1,0.468742,-4.143881,5.246304,0.460000,0.271070,1.043162,200,122,1.250000,60.000000,0.000000,0
費用なし,0.000000,logistic_2値基準率,B,2,0.504322,-3.599868,5.342053,0.450000,0.700133,0.909954,200,122,1.250000,60.000000,0.000000,1
費用なし,0.000000,logistic_2値基準率,B,2,0.504322,-3.599868,5.342053,0.450000,0.700133,0.909954,200,122,1.250000,60.000000,0.000000,0
費用なし,0.000000,規則,A,0.500000,-0.097374,-4.820706,4.113166,0.510000,-0.551243,1.173687,200,122,1.225000,60.000000,0.000000,1
費用なし,0.000000,規則,A,0.500000,-0.097374,-4.820706,4.113166,0.510000,-0.551243,1.173687,200,122,1.225000,60.000000,0.000000,0
費用なし,0.000000,規則,A,1,-0.278881,-4.923453,3.895739,0.525000,-0.337032,1.128359,200,122,1.225000,60.000000,0.000000,1
費用なし,0.000000,規則,A,1,-0.278881,-4.923453,3.895739,0.525000,-0.337032,1.128359,200,122,1.225000,60.000000,0.000000,0
費用なし,0.000000,規則,A,2,0.000000,-4.645624,3.695018,0.490000,-0.190292,1.095559,200,122,1.225000,60.000000,0.000000,1
費用なし,0.000000,規則,A,2,0.000000,-4.645624,3.695018,0.490000,-0.190292,1.095559,200,122,1.225000,60.000000,0.000000,0
費用なし,0.000000,規則,B,0.500000,0.000000,-5.342908,5.312558,0.490000,0.138191,1.180959,200,122,1.390000,60.000000,0.000000,1
費用なし,0.000000,規則,B,0.500000,0.000000,-5.342908,5.312558,0.490000,0.138191,1.180959,200,122,1.390000,60.000000,0.000000,0
費用なし,0.000000,規則,B,1,-0.090517,-4.626164,5.186152,0.515000,0.009543,1.141916,200,122,1.390000,60.000000,0.000000,1
費用なし,0.000000,規則,B,1,-0.090517,-4.626164,5.186152,0.515000,0.009543,1.141916,200,122,1.390000,60.000000,0.000000,0
費用なし,0.000000,規則,B,2,0.000000,-4.645624,4.380949,0.490000,0.023213,1.137787,200,122,1.390000,60.000000,0.000000,1
費用なし,0.000000,規則,B,2,0.000000,-4.645624,4.380949,0.490000,0.023213,1.137787,200,122,1.390000,60.000000,0.000000,0
費用なし,0.000000,完全な判断,A,0.500000,5.167819,0.273892,12.364076,0.205000,7.886844,1.797236,200,122,1.100000,60.000000,0.000000,1
費用なし,0.000000,完全な判断,A,0.500000,5.167819,0.273892,12.364076,0.205000,7.886844,1.797236,200,122,1.100000,60.000000,0.000000,0
費用なし,0.000000,完全な判断,A,1,4.662478,0.000000,12.105880,0.245000,7.450490,1.746818,200,122,1.100000,60.000000,0.000000,1
費用なし,0.000000,完全な判断,A,1,4.662478,0.000000,12.105880,0.245000,7.450490,1.746818,200,122,1.100000,60.000000,0.000000,0
費用なし,0.000000,完全な判断,A,2,3.929736,-0.026190,11.631000,0.255000,6.939528,1.619875,200,122,1.100000,60.000000,0.000000,1
費用なし,0.000000,完全な判断,A,2,3.929736,-0.026190,11.631000,0.255000,6.939528,1.619875,200,122,1.100000,60.000000,0.000000,0
費用なし,0.000000,完全な判断,B,0.500000,5.367641,0.232339,13.811383,0.210000,9.140995,2.477454,200,122,1.240000,60.000000,0.000000,1
費用なし,0.000000,完全な判断,B,0.500000,5.367641,0.232339,13.811383,0.210000,9.140995,2.477454,200,122,1.240000,60.000000,0.000000,0
費用なし,0.000000,完全な判断,B,1,4.662478,-0.005850,12.755394,0.250000,8.567746,2.477560,200,122,1.240000,60.000000,0.000000,1
費用なし,0.000000,完全な判断,B,1,4.662478,-0.005850,12.755394,0.250000,8.567746,2.477560,200,122,1.240000,60.000000,0.000000,0
費用なし,0.000000,完全な判断,B,2,4.246260,-0.005985,12.307082,0.250000,8.112842,2.284482,200,122,1.240000,60.000000,0.000000,1
費用なし,0.000000,完全な判断,B,2,4.246260,-0.005985,12.307082,0.250000,8.112842,2.284482,200,122,1.240000,60.000000,0.000000,0
費用なし,0.000000,全部逆張り,A,0.500000,1.030894,-3.761390,5.547997,0.420000,0.944299,0.922285,200,122,1.000000,60.000000,0.000000,1
費用なし,0.000000,全部逆張り,A,0.500000,1.030894,-3.761390,5.547997,0.420000,0.944299,0.922285,200,122,1.000000,60.000000,0.000000,0
費用なし,0.000000,全部逆張り,A,1,0.504322,-3.900983,5.309049,0.445000,0.917697,0.921609,200,122,1.000000,60.000000,0.000000,1
費用なし,0.000000,全部逆張り,A,1,0.504322,-3.900983,5.309049,0.445000,0.917697,0.921609,200,122,1.000000,60.000000,0.000000,0
費用なし,0.000000,全部逆張り,A,2,0.638283,-3.896059,4.826507,0.440000,0.631478,0.910791,200,122,1.000000,60.000000,0.000000,1
費用なし,0.000000,全部逆張り,A,2,0.638283,-3.896059,4.826507,0.440000,0.631478,0.910791,200,122,1.000000,60.000000,0.000000,0
費用なし,0.000000,全部逆張り,B,0.500000,1.030894,-3.761390,5.547997,0.420000,0.944299,0.922285,200,122,1.000000,60.000000,0.000000,1
費用なし,0.000000,全部逆張り,B,0.500000,1.030894,-3.761390,5.547997,0.420000,0.944299,0.922285,200,122,1.000000,60.000000,0.000000,0
費用なし,0.000000,全部逆張り,B,1,0.504322,-3.900983,5.309049,0.445000,0.917697,0.921609,200,122,1.000000,60.000000,0.000000,1
費用なし,0.000000,全部逆張り,B,1,0.504322,-3.900983,5.309049,0.445000,0.917697,0.921609,200,122,1.000000,60.000000,0.000000,0
費用なし,0.000000,全部逆張り,B,2,0.638283,-3.896059,4.826507,0.440000,0.631478,0.910791,200,122,1.000000,60.000000,0.000000,1
費用なし,0.000000,全部逆張り,B,2,0.638283,-3.896059,4.826507,0.440000,0.631478,0.910791,200,122,1.000000,60.000000,0.000000,0
費用なし,0.000000,全部順張り,A,0.500000,-1.030894,-5.547997,3.761390,0.565000,-0.944299,0.922285,200,122,1.000000,60.000000,0.000000,1
費用なし,0.000000,全部順張り,A,0.500000,-1.030894,-5.547997,3.761390,0.565000,-0.944299,0.922285,200,122,1.000000,60.000000,0.000000,0
費用なし,0.000000,全部順張り,A,1,-0.504322,-5.309049,3.900983,0.535000,-0.917697,0.921609,200,122,1.000000,60.000000,0.000000,1
費用なし,0.000000,全部順張り,A,1,-0.504322,-5.309049,3.900983,0.535000,-0.917697,0.921609,200,122,1.000000,60.000000,0.000000,0
費用なし,0.000000,全部順張り,A,2,-0.638283,-4.826507,3.896059,0.545000,-0.631478,0.910791,200,122,1.000000,60.000000,0.000000,1
費用なし,0.000000,全部順張り,A,2,-0.638283,-4.826507,3.896059,0.545000,-0.631478,0.910791,200,122,1.000000,60.000000,0.000000,0
費用なし,0.000000,全部順張り,B,0.500000,-1.030894,-5.547997,3.761390,0.565000,-0.944299,0.922285,200,122,1.000000,60.000000,0.000000,1
費用なし,0.000000,全部順張り,B,0.500000,-1.030894,-5.547997,3.761390,0.565000,-0.944299,0.922285,200,122,1.000000,60.000000,0.000000,0
費用なし,0.000000,全部順張り,B,1,-0.504322,-5.309049,3.900983,0.535000,-0.917697,0.921609,200,122,1.000000,60.000000,0.000000,1
費用なし,0.000000,全部順張り,B,1,-0.504322,-5.309049,3.900983,0.535000,-0.917697,0.921609,200,122,1.000000,60.000000,0.000000,0
費用なし,0.000000,全部順張り,B,2,-0.638283,-4.826507,3.896059,0.545000,-0.631478,0.910791,200,122,1.000000,60.000000,0.000000,1
費用なし,0.000000,全部順張り,B,2,-0.638283,-4.826507,3.896059,0.545000,-0.631478,0.910791,200,122,1.000000,60.000000,0.000000,0
費用あり(主のc),1.786924,logistic_3択,A,0.500000,-0.625221,-5.138049,2.177265,0.570000,-1.128613,0.926279,200,122,0.990000,60.000000,0.090000,1
費用あり(主のc),1.786924,logistic_3択,A,0.500000,-1.442344,-5.458980,3.109824,0.626374,-1.266970,1.017979,182,117,0.990000,60.000000,0.090000,0
費用あり(主のc),1.786924,logistic_3択,A,1,-0.477022,-4.998806,2.828645,0.545000,-0.697674,0.832287,200,122,0.990000,60.000000,0.090000,1
費用あり(主のc),1.786924,logistic_3択,A,1,-1.392188,-5.658610,3.271843,0.598901,-0.827993,0.914842,182,117,0.990000,60.000000,0.090000,0
費用あり(主のc),1.786924,logistic_3択,A,2,-0.521534,-4.749038,2.722387,0.535000,-0.306760,0.812683,200,122,0.990000,60.000000,0.090000,1
費用あり(主のc),1.786924,logistic_3択,A,2,-1.225410,-5.241533,3.523838,0.587912,-0.406803,0.893211,182,117,0.990000,60.000000,0.090000,0
費用あり(主のc),1.786924,logistic_3択,B,0.500000,-0.547571,-5.266489,2.893655,0.555000,-1.935601,1.321766,200,122,1.095000,60.000000,0.090000,1
費用あり(主のc),1.786924,logistic_3択,B,0.500000,-1.364290,-6.299817,3.827420,0.609890,-2.080301,1.452139,182,117,1.095000,60.000000,0.090000,0
費用あり(主のc),1.786924,logistic_3択,B,1,-0.477022,-5.179309,2.925881,0.540000,-1.060705,1.068412,200,122,1.095000,60.000000,0.090000,1
費用あり(主のc),1.786924,logistic_3択,B,1,-1.577539,-5.886504,4.134127,0.593407,-1.183512,1.174199,182,117,1.095000,60.000000,0.090000,0
費用あり(主のc),1.786924,logistic_3択,B,2,-0.521534,-4.778947,2.977960,0.525000,-0.557456,0.953227,200,122,1.095000,60.000000,0.090000,1
費用あり(主のc),1.786924,logistic_3択,B,2,-1.286386,-5.304322,3.617708,0.576923,-0.651633,1.047590,182,117,1.095000,60.000000,0.090000,0
費用あり(主のc),1.786924,logistic_2値0.5,A,0.500000,-1.786924,-7.069917,3.702979,0.650000,-1.308203,0.936202,200,122,1.035000,60.000000,0.000000,1
費用あり(主のc),1.786924,logistic_2値0.5,A,0.500000,-1.786924,-7.069917,3.702979,0.650000,-1.308203,0.936202,200,122,1.035000,60.000000,0.000000,0
費用あり(主のc),1.786924,logistic_2値0.5,A,1,-1.810594,-6.757826,3.107910,0.635000,-1.382196,0.924547,200,122,1.035000,60.000000,0.000000,1
費用あり(主のc),1.786924,logistic_2値0.5,A,1,-1.810594,-6.757826,3.107910,0.635000,-1.382196,0.924547,200,122,1.035000,60.000000,0.000000,0
費用あり(主のc),1.786924,logistic_2値0.5,A,2,-1.798894,-5.738482,2.941524,0.610000,-1.070240,0.957823,200,122,1.035000,60.000000,0.000000,1
費用あり(主のc),1.786924,logistic_2値0.5,A,2,-1.798894,-5.738482,2.941524,0.610000,-1.070240,0.957823,200,122,1.035000,60.000000,0.000000,0
費用あり(主のc),1.786924,logistic_2値0.5,B,0.500000,-1.762812,-7.082247,4.012772,0.630000,-1.324066,0.983823,200,122,1.085000,60.000000,0.000000,1
費用あり(主のc),1.786924,logistic_2値0.5,B,0.500000,-1.762812,-7.082247,4.012772,0.630000,-1.324066,0.983823,200,122,1.085000,60.000000,0.000000,0
費用あり(主のc),1.786924,logistic_2値0.5,B,1,-1.797343,-7.082247,3.370593,0.625000,-1.438237,0.953678,200,122,1.085000,60.000000,0.000000,1
費用あり(主のc),1.786924,logistic_2値0.5,B,1,-1.797343,-7.082247,3.370593,0.625000,-1.438237,0.953678,200,122,1.085000,60.000000,0.000000,0
費用あり(主のc),1.786924,logistic_2値0.5,B,2,-1.798894,-6.315672,2.977960,0.605000,-1.131802,0.974908,200,122,1.085000,60.000000,0.000000,1
費用あり(主のc),1.786924,logistic_2値0.5,B,2,-1.798894,-6.315672,2.977960,0.605000,-1.131802,0.974908,200,122,1.085000,60.000000,0.000000,0
費用あり(主のc),1.786924,logistic_2値基準率,A,0.500000,-1.364290,-5.896280,3.624965,0.615000,-1.717065,0.940466,200,122,1.130000,60.000000,0.000000,1
費用あり(主のc),1.786924,logistic_2値基準率,A,0.500000,-1.364290,-5.896280,3.624965,0.615000,-1.717065,0.940466,200,122,1.130000,60.000000,0.000000,0
費用あり(主のc),1.786924,logistic_2値基準率,A,1,-1.286386,-5.815596,3.756764,0.590000,-1.348703,0.858453,200,122,1.130000,60.000000,0.000000,1
費用あり(主のc),1.786924,logistic_2値基準率,A,1,-1.286386,-5.815596,3.756764,0.590000,-1.348703,0.858453,200,122,1.130000,60.000000,0.000000,0
費用あり(主のc),1.786924,logistic_2値基準率,A,2,-1.286386,-5.223407,3.555129,0.575000,-0.973771,0.808375,200,122,1.130000,60.000000,0.000000,1
費用あり(主のc),1.786924,logistic_2値基準率,A,2,-1.286386,-5.223407,3.555129,0.575000,-0.973771,0.808375,200,122,1.130000,60.000000,0.000000,0
費用あり(主のc),1.786924,logistic_2値基準率,B,0.500000,-1.442344,-6.866235,3.224466,0.610000,-2.749169,1.310522,200,122,1.250000,60.000000,0.000000,1
費用あり(主のc),1.786924,logistic_2値基準率,B,0.500000,-1.442344,-6.866235,3.224466,0.610000,-2.749169,1.310522,200,122,1.250000,60.000000,0.000000,0
費用あり(主のc),1.786924,logistic_2値基準率,B,1,-1.739126,-6.358504,3.459380,0.605000,-1.948914,1.049715,200,122,1.250000,60.000000,0.000000,1
費用あり(主のc),1.786924,logistic_2値基準率,B,1,-1.739126,-6.358504,3.459380,0.605000,-1.948914,1.049715,200,122,1.250000,60.000000,0.000000,0
費用あり(主のc),1.786924,logistic_2値基準率,B,2,-1.600873,-5.607945,3.385333,0.585000,-1.519851,0.916845,200,122,1.250000,60.000000,0.000000,1
費用あり(主のc),1.786924,logistic_2値基準率,B,2,-1.600873,-5.607945,3.385333,0.585000,-1.519851,0.916845,200,122,1.250000,60.000000,0.000000,0
費用あり(主のc),1.786924,規則,A,0.500000,-1.884298,-7.118618,2.042875,0.670000,-2.672047,1.197192,200,122,1.225000,60.000000,0.000000,1
費用あり(主のc),1.786924,規則,A,0.500000,-1.884298,-7.118618,2.042875,0.670000,-2.672047,1.197192,200,122,1.225000,60.000000,0.000000,0
費用あり(主のc),1.786924,規則,A,1,-2.065805,-7.203581,2.042875,0.670000,-2.457836,1.153028,200,122,1.225000,60.000000,0.000000,1
費用あり(主のc),1.786924,規則,A,1,-2.065805,-7.203581,2.042875,0.670000,-2.457836,1.153028,200,122,1.225000,60.000000,0.000000,0
費用あり(主のc),1.786924,規則,A,2,-1.798894,-6.496761,1.805921,0.645000,-2.311096,1.117895,200,122,1.225000,60.000000,0.000000,1
費用あり(主のc),1.786924,規則,A,2,-1.798894,-6.496761,1.805921,0.645000,-2.311096,1.117895,200,122,1.225000,60.000000,0.000000,0
費用あり(主のc),1.786924,規則,B,0.500000,-1.833213,-7.637173,3.364912,0.640000,-2.296302,1.205113,200,122,1.390000,60.000000,0.000000,1
費用あり(主のc),1.786924,規則,B,0.500000,-1.833213,-7.637173,3.364912,0.640000,-2.296302,1.205113,200,122,1.390000,60.000000,0.000000,0
費用あり(主のc),1.786924,規則,B,1,-2.065805,-7.373832,3.088594,0.635000,-2.424949,1.166101,200,122,1.390000,60.000000,0.000000,1
費用あり(主のc),1.786924,規則,B,1,-2.065805,-7.373832,3.088594,0.635000,-2.424949,1.166101,200,122,1.390000,60.000000,0.000000,0
費用あり(主のc),1.786924,規則,B,2,-1.957376,-6.914985,2.560379,0.630000,-2.411279,1.160871,200,122,1.390000,60.000000,0.000000,1
費用あり(主のc),1.786924,規則,B,2,-1.957376,-6.914985,2.560379,0.630000,-2.411279,1.160871,200,122,1.390000,60.000000,0.000000,0
費用あり(主のc),1.786924,完全な判断,A,0.500000,3.199130,-1.513032,10.577152,0.360000,5.926075,1.788283,200,122,1.100000,60.000000,0.000000,1
費用あり(主のc),1.786924,完全な判断,A,0.500000,3.199130,-1.513032,10.577152,0.360000,5.926075,1.788283,200,122,1.100000,60.000000,0.000000,0
費用あり(主のc),1.786924,完全な判断,A,1,2.820072,-1.786924,10.318956,0.360000,5.489721,1.738921,200,122,1.100000,60.000000,0.000000,1
費用あり(主のc),1.786924,完全な判断,A,1,2.820072,-1.786924,10.318956,0.360000,5.489721,1.738921,200,122,1.100000,60.000000,0.000000,0
費用あり(主のc),1.786924,完全な判断,A,2,2.084849,-1.813114,9.288915,0.365000,4.978759,1.613714,200,122,1.100000,60.000000,0.000000,1
費用あり(主のc),1.786924,完全な判断,A,2,2.084849,-1.813114,9.288915,0.365000,4.978759,1.613714,200,122,1.100000,60.000000,0.000000,0
費用あり(主のc),1.786924,完全な判断,B,0.500000,3.496302,-1.630470,10.968961,0.360000,6.980051,2.462987,200,122,1.240000,60.000000,0.000000,1
費用あり(主のc),1.786924,完全な判断,B,0.500000,3.496302,-1.630470,10.968961,0.360000,6.980051,2.462987,200,122,1.240000,60.000000,0.000000,0
費用あり(主のc),1.786924,完全な判断,B,1,2.837022,-1.810459,10.591125,0.370000,6.406803,2.464459,200,122,1.240000,60.000000,0.000000,1
費用あり(主のc),1.786924,完全な判断,B,1,2.837022,-1.810459,10.591125,0.370000,6.406803,2.464459,200,122,1.240000,60.000000,0.000000,0
費用あり(主のc),1.786924,完全な判断,B,2,2.283632,-1.841095,10.295126,0.365000,5.951899,2.271929,200,122,1.240000,60.000000,0.000000,1
費用あり(主のc),1.786924,完全な判断,B,2,2.283632,-1.841095,10.295126,0.365000,5.951899,2.271929,200,122,1.240000,60.000000,0.000000,0
費用あり(主のc),1.786924,全部逆張り,A,0.500000,-0.756030,-5.548314,3.761073,0.570000,-0.842625,0.922285,200,122,1.000000,60.000000,0.000000,1
費用あり(主のc),1.786924,全部逆張り,A,0.500000,-0.756030,-5.548314,3.761073,0.570000,-0.842625,0.922285,200,122,1.000000,60.000000,0.000000,0
費用あり(主のc),1.786924,全部逆張り,A,1,-1.282602,-5.687907,3.522125,0.575000,-0.869227,0.921609,200,122,1.000000,60.000000,0.000000,1
費用あり(主のc),1.786924,全部逆張り,A,1,-1.282602,-5.687907,3.522125,0.575000,-0.869227,0.921609,200,122,1.000000,60.000000,0.000000,0
費用あり(主のc),1.786924,全部逆張り,A,2,-1.148641,-5.682983,3.039583,0.555000,-1.155446,0.910791,200,122,1.000000,60.000000,0.000000,1
費用あり(主のc),1.786924,全部逆張り,A,2,-1.148641,-5.682983,3.039583,0.555000,-1.155446,0.910791,200,122,1.000000,60.000000,0.000000,0
費用あり(主のc),1.786924,全部逆張り,B,0.500000,-0.756030,-5.548314,3.761073,0.570000,-0.842625,0.922285,200,122,1.000000,60.000000,0.000000,1
費用あり(主のc),1.786924,全部逆張り,B,0.500000,-0.756030,-5.548314,3.761073,0.570000,-0.842625,0.922285,200,122,1.000000,60.000000,0.000000,0
費用あり(主のc),1.786924,全部逆張り,B,1,-1.282602,-5.687907,3.522125,0.575000,-0.869227,0.921609,200,122,1.000000,60.000000,0.000000,1
費用あり(主のc),1.786924,全部逆張り,B,1,-1.282602,-5.687907,3.522125,0.575000,-0.869227,0.921609,200,122,1.000000,60.000000,0.000000,0
費用あり(主のc),1.786924,全部逆張り,B,2,-1.148641,-5.682983,3.039583,0.555000,-1.155446,0.910791,200,122,1.000000,60.000000,0.000000,1
費用あり(主のc),1.786924,全部逆張り,B,2,-1.148641,-5.682983,3.039583,0.555000,-1.155446,0.910791,200,122,1.000000,60.000000,0.000000,0
費用あり(主のc),1.786924,全部順張り,A,0.500000,-2.817818,-7.334921,1.974466,0.685000,-2.731223,0.922285,200,122,1.000000,60.000000,0.000000,1
費用あり(主のc),1.786924,全部順張り,A,0.500000,-2.817818,-7.334921,1.974466,0.685000,-2.731223,0.922285,200,122,1.000000,60.000000,0.000000,0
費用あり(主のc),1.786924,全部順張り,A,1,-2.291246,-7.095973,2.114059,0.665000,-2.704621,0.921609,200,122,1.000000,60.000000,0.000000,1
費用あり(主のc),1.786924,全部順張り,A,1,-2.291246,-7.095973,2.114059,0.665000,-2.704621,0.921609,200,122,1.000000,60.000000,0.000000,0
費用あり(主のc),1.786924,全部順張り,A,2,-2.425207,-6.613431,2.109135,0.660000,-2.418402,0.910791,200,122,1.000000,60.000000,0.000000,1
費用あり(主のc),1.786924,全部順張り,A,2,-2.425207,-6.613431,2.109135,0.660000,-2.418402,0.910791,200,122,1.000000,60.000000,0.000000,0
費用あり(主のc),1.786924,全部順張り,B,0.500000,-2.817818,-7.334921,1.974466,0.685000,-2.731223,0.922285,200,122,1.000000,60.000000,0.000000,1
費用あり(主のc),1.786924,全部順張り,B,0.500000,-2.817818,-7.334921,1.974466,0.685000,-2.731223,0.922285,200,122,1.000000,60.000000,0.000000,0
費用あり(主のc),1.786924,全部順張り,B,1,-2.291246,-7.095973,2.114059,0.665000,-2.704621,0.921609,200,122,1.000000,60.000000,0.000000,1
費用あり(主のc),1.786924,全部順張り,B,1,-2.291246,-7.095973,2.114059,0.665000,-2.704621,0.921609,200,122,1.000000,60.000000,0.000000,0
費用あり(主のc),1.786924,全部順張り,B,2,-2.425207,-6.613431,2.109135,0.660000,-2.418402,0.910791,200,122,1.000000,60.000000,0.000000,1
費用あり(主のc),1.786924,全部順張り,B,2,-2.425207,-6.613431,2.109135,0.660000,-2.418402,0.910791,200,122,1.000000,60.000000,0.000000,0
費用あり(p75),3.717097,logistic_3択,A,0.500000,-2.555394,-7.119211,0.247092,0.650000,-3.052985,0.926775,200,122,0.990000,60.000000,0.090000,1
費用あり(p75),3.717097,logistic_3択,A,0.500000,-3.421224,-7.573138,1.179651,0.714286,-3.362115,1.017143,182,117,0.990000,60.000000,0.090000,0
費用あり(p75),3.717097,logistic_3択,A,1,-2.465773,-7.096001,0.729456,0.630000,-2.622046,0.829318,200,122,0.990000,60.000000,0.090000,1
費用あり(p75),3.717097,logistic_3択,A,1,-3.322361,-7.696038,1.163753,0.692308,-2.923138,0.910996,182,117,0.990000,60.000000,0.090000,0
費用あり(p75),3.717097,logistic_3択,A,2,-2.524354,-6.679211,0.650302,0.625000,-2.231132,0.808835,200,122,0.990000,60.000000,0.090000,1
費用あり(p75),3.717097,logistic_3択,A,2,-3.155583,-7.171706,1.460109,0.686813,-2.501948,0.887810,182,117,0.990000,60.000000,0.090000,0
費用あり(p75),3.717097,logistic_3択,B,0.500000,-2.603081,-7.251363,0.175891,0.650000,-4.076722,1.338418,200,122,1.095000,60.000000,0.090000,1
費用あり(p75),3.717097,logistic_3択,B,0.500000,-3.372517,-8.229990,1.179651,0.714286,-4.413280,1.468232,182,117,1.095000,60.000000,0.090000,0
費用あり(p75),3.717097,logistic_3択,B,1,-2.551301,-7.190134,0.995708,0.625000,-3.201826,1.079647,200,122,1.095000,60.000000,0.090000,1
費用あり(p75),3.717097,logistic_3択,B,1,-3.590184,-7.878674,1.478693,0.686813,-3.516492,1.185129,182,117,1.095000,60.000000,0.090000,0
費用あり(p75),3.717097,logistic_3択,B,2,-2.524354,-7.115192,0.792214,0.625000,-2.698577,0.962849,200,122,1.095000,60.000000,0.090000,1
