draw,max_mean_net_bps_full,max_mean_net_bps_train,max_mean_net_bps_val,max_sharpe_full,max_sharpe_train,max_sharpe_val
47,-3.711228018971148,-3.728404686562812,-3.591013108476276,-2.8116554159812037,-2.8822630036746753,-2.850051833650661
48,-3.8045037800761645,-3.889708197277831,-3.5661252973453705,-2.5124553098157447,-2.38150634556368,-3.251732572474935
49,-3.693528691059291,-3.6295293879251425,-3.294424102672017,-2.6171401415815487,-2.18763303049859,-3.937216713090941
50,-3.6043531677568352,-3.5876425947321904,-3.329096550967524,-2.6126928145859427,-2.3881654875880813,-3.66061115161536
51,-3.31779135002,-3.2404612137397564,-3.291488898570196,-1.9736008024290321,-1.9816428713312935,-2.252979801899333
52,-3.837249405019753,-4.01275038549591,-2.962770445844348,-2.2558438297664667,-2.366184642408268,-2.0109664716986715
53,-3.53920373933284,-3.6370791800783553,-3.1402962917661585,-2.6957912675551166,-2.8664154521481304,-2.3846687073921977
54,-3.4376789111054027,-3.4705287572748156,-3.3438301656379816,-2.383976695751535,-2.3429533711436825,-2.721864951814336
55,-3.279015833451081,-3.365884277560844,-2.8850136299756466,-2.3596202465569847,-2.3106519966430152,-2.6513736646423953
56,-3.736156861320496,-3.3230958135015487,-3.6642317941768705,-1.713888937708683,-1.3345476442623945,-3.445274225239826
57,-3.4571940666357195,-3.3577778367199316,-3.654216630619988,-2.897205372288548,-2.7225948254853494,-3.76077453358356
58,-3.502119768426962,-3.4566375696417384,-3.474039605856543,-2.7757741547349863,-2.6886432526102104,-3.206031158832161
59,-3.4106183110225268,-3.326479328164256,-3.522019363000896,-2.5979095671402024,-2.1431479604679846,-4.30904957407694
60,-3.360733865953573,-3.24633407262652,-3.641663961532988,-2.435235126406803,-2.3315828443787003,-3.3580389542276077
61,-3.556201340657161,-3.582425977058812,-3.39367125470452,-3.069696459648054,-3.028122904605879,-3.5857719345904577
62,-3.617744579014558,-3.757513731758316,-2.9910944999426294,-2.7394946079275497,-2.5611398516654793,-3.774836747805733
63,-3.3219453866258224,-3.3271168958333686,-3.2122822700734806,-2.8385053843209285,-2.6369438571072243,-3.6599218518223933
64,-3.611228102466636,-3.6859151633216225,-3.247927312506681,-2.4182507156418778,-2.3433645150853994,-2.9675163172540135
65,-3.644724978318475,-3.791708532994121,-3.172179529537863,-2.6272094317089505,-2.461549345498017,-2.8984470624113614
66,-3.6068630343902277,-3.4968633885302993,-3.75837896958363,-2.368674993260866,-2.1150463616521815,-3.369077937516646
67,-3.6585814108832,-3.813672518251117,-3.2589312587603243,-2.688730081470382,-2.637939063642117,-3.0843807825254412
68,-3.728015959416057,-3.803538864689263,-3.479843998269556,-2.5452660043523507,-2.006917439769005,-3.7154722319489544
69,-3.4291398998824034,-3.4665908926941675,-2.992941061060516,-2.2485445149079624,-1.9260397162688978,-3.1997082612015117
70,-3.6147290048264233,-3.534022110793909,-3.693430400838532,-2.5799134802154384,-2.407674432656848,-3.294219139992575
71,-3.2322208773716032,-3.1284459615412903,-3.4704322924975566,-2.955125751998418,-2.7587605390949976,-3.957457689676016
72,-3.9156441015020937,-4.011280925910772,-3.351070400548588,-2.386955317917517,-2.4000402441623314,-2.77977502325847
73,-3.6046510533196288,-3.1573080798282747,-3.7265998984002824,-2.4742498617059154,-2.1586182303844015,-3.8067182816247733
74,-3.481639524353513,-3.513247324815398,-3.217293014357797,-2.8672878323930076,-2.854108798085139,-3.2196043106454226
75,-3.3853148083323545,-3.3806204814798404,-3.23588556626866,-2.4764354227526795,-2.2941800993228485,-3.363474863927161
76,-3.646565160369295,-3.7286796288462476,-3.422114874476045,-2.3494453951765224,-2.2438297334394663,-3.1012219755931123
77,-3.339124593736661,-3.169077492604897,-3.281964311057804,-1.742153146700343,-1.3757716715730222,-3.4876953458397986
78,-3.4783987668393097,-3.443448133356483,-3.4550327535220333,-2.280384406898372,-2.0660195168531414,-3.0766149580214925
79,-3.647152678404673,-3.557885338676095,-3.4967910522820502,-3.2965622838415602,-3.188247359551881,-3.5216199966627006
80,-3.8734241517215833,-3.8253887697281908,-3.344624730799108,-3.276322372863339,-2.9177898852016577,-3.804389029726148
81,-3.6864288075842393,-3.743473093494546,-3.049329259062283,-2.0092919999647805,-1.9879879487765504,-2.107423656893761
82,-3.6824319714815905,-3.827183514708638,-3.3524628892229718,-3.0012488157922266,-2.9854767426241575,-3.3828139158654493
83,-3.740883815273285,-3.830366138000157,-3.377104068229378,-2.7284663380219345,-2.814146004565886,-2.56298540693894
84,-3.5360625466316042,-3.6533638097896937,-3.219123676524942,-2.5824898016952873,-2.792402444389652,-2.0453744012132726
85,-3.5635222882091955,-3.6706882710385895,-3.26050898797222,-2.2086084390052094,-1.737958865731746,-3.617640972407712
86,-3.5578162380428444,-3.322477560947669,-3.7758734667617633,-2.2530260238990003,-1.7848824711409024,-4.178812079386475
87,-3.6384640777964044,-3.6206430884847416,-3.4152116902879954,-2.306494543686869,-1.933061222974763,-3.5925310297742374
88,-3.333062870638115,-3.187364976605418,-3.494247392505608,-2.323225602438089,-2.1099356667862397,-3.203026766840771
89,-3.20036538174144,-3.034150673433762,-3.1571244550512723,-2.499818249844014,-2.337481717113396,-3.319855213911868
90,-3.321569099248135,-3.516692117688231,-2.2379211155601757,-2.207083261710142,-2.324237241177523,-1.963349192736593
91,-3.4992936395056238,-3.8118366817583427,-2.729064193954035,-2.3675263331895056,-2.407605638538422,-2.570381223585644
92,-3.456650170502014,-3.3428642856463293,-3.7565426190736706,-2.6883077793823267,-2.336227217645572,-4.206354978759343
93,-3.517621838839824,-3.1909407064750788,-3.4799722902195103,-1.939574199045403,-1.6194912181917573,-3.277686491982081
94,-3.650023331524214,-3.740852443929228,-3.3830282633955426,-3.4739258437493223,-3.4059175910800885,-3.339591250398226
95,-3.7862262432100553,-3.867929746527682,-3.562858286393121,-2.398430178814694,-2.077676709399117,-3.8764425445083983
96,-3.8754760700305972,-4.098895429813067,-3.303839305684241,-2.917404372197858,-2.92299726112005,-3.0787978182859526
97,-3.7518221216156595,-3.8462648568831947,-3.2965996519628304,-2.8448469337556928,-2.567645423079357,-2.8013879693285477
98,-3.5743694200092735,-3.665297948075008,-3.190457153504511,-2.42996948762785,-2.3522559022535496,-2.8821077600198226
99,-3.794547400685041,-3.960028562501809,-3.1591991345591715,-2.1599169723492873,-1.9259523141567696,-3.264345482714518
100,-3.350332844167066,-3.5970033193101174,-2.771322712380106,-2.2122725116488113,-2.1144410094329613,-2.7453960893875164
101,-3.4394900119798817,-3.3739738769566308,-3.478803753959519,-2.473482604501811,-2.0628872536413922,-4.079154833508226
102,-3.7993386701752714,-3.869370648917434,-3.342818634495578,-2.7410448700763057,-2.5269210069069414,-3.79337366240227
103,-3.800992044675607,-3.7782428272740565,-3.4872160796798624,-3.2925497289968138,-3.08268352434212,-3.5737552294635795
104,-3.783494949903813,-3.957994535901736,-3.0936379255783084,-2.453322105771735,-2.3486373021252867,-3.0527201760915403
105,-3.6017837586443644,-3.560985856700257,-3.5494830925058416,-2.701720619260579,-2.271385306503159,-3.9207598606557377
106,-3.8168196501647085,-3.7915907348641693,-3.6260980286156457,-2.0383417551184597,-1.9820716592696142,-2.474909661690415
107,-3.8153269819902422,-3.7957027132538994,-3.75284785063454,-3.024482887584222,-3.1313975384558774,-2.9394560110286045
108,-3.848973548551591,-3.954320450101803,-3.38710854720414,-2.9373594368698765,-2.7935617716765364,-3.647568211680507
109,-3.3168520505664905,-3.221717786666013,-2.8993481403318766,-2.160120260003091,-2.013176588230583,-2.671482741737497
110,-3.673384812627026,-3.768870760465285,-3.063716535122371,-2.7083256679457652,-2.6941673284544327,-2.8831772068183246
111,-3.4486555813576008,-3.533947180945515,-3.0974490778273576,-2.2742831593822683,-2.2108399566775008,-2.9002979081954425
112,-3.390872440763085,-3.484925234732185,-2.492091933242224,-2.4447308499430243,-2.5770480516373078,-2.3071717780247916
113,-3.7354798894905024,-3.6936941697252,-3.8276761831709734,-2.8524454027650568,-2.5716039276844023,-3.928456445763359
114,-3.6086104031823942,-3.7014869579077807,-3.236904228219626,-2.695209745054403,-2.4586530261449857,-3.5463318674297253
115,-3.6760961044068083,-3.70876909731803,-3.1772361978275923,-2.606162927355742,-2.543241356985979,-3.0207931175722686
116,-3.6388035384976143,-3.8555035586988557,-3.114380212038985,-2.888499604078301,-2.9196631473898056,-2.9075173867287822
117,-3.7458739836652546,-3.821145852850448,-3.3099573107319236,-2.5909737041851257,-2.3055980400093445,-3.768852101132933
118,-3.6794449227178077,-3.8482540626427886,-3.128013395896734,-1.8244096320651064,-1.5460873938095019,-3.3436715616057344
119,-3.8495976850426077,-3.9060519331726744,-3.4182116801410785,-3.612013648984656,-3.5647630330984263,-4.12713373243187
120,-3.5896520473881663,-3.7228250040923383,-3.198285757593727,-2.731244617817716,-2.5931816629611504,-3.4619166427916457
121,-3.468527544998712,-3.2789263564456097,-3.4564916273733037,-2.152948345356171,-1.765434805097403,-3.4352995091516005
122,-3.701079266787238,-3.7233949496606016,-3.4008768841931305,-2.6476183504481856,-2.3891567304551966,-3.8048080577994328
123,-3.585011347272994,-3.5253208732276526,-2.986363650966451,-2.6715028140002395,-2.697134680804836,-2.863833481456274
124,-3.8599137478966474,-3.9375182990242203,-3.538118574592999,-2.6807162033848666,-2.609622124138016,-3.1599103741943955
125,-3.824439035527581,-3.8644376806446816,-3.7057148127151587,-3.4766489489839887,-3.1418371034352743,-4.008385959076899
126,-3.0180586215276737,-3.310876751177592,-2.3143788968775003,-2.590515531002621,-2.4120011751467136,-2.724073431106528
127,-3.755214426438351,-3.7442478605398284,-3.6746053840452815,-2.1795394288590297,-1.9162298834624416,-3.3954539856620998
128,-3.6861841578311263,-3.5751097166689165,-3.4911623525891593,-2.480854284426493,-2.559101215525232,-2.359466126796633
129,-3.687097991316017,-3.8150218845634623,-2.988449810325904,-2.773796549104097,-2.7366979736580754,-3.107766016324483
130,-3.405013424594819,-3.243228476718397,-3.610600055833634,-2.148217781475514,-1.824572528724976,-3.8294381630572683
131,-3.5217901815359234,-3.502595756130335,-3.3192850097179347,-2.574551871636359,-2.186761557299361,-3.913437337273754
132,-3.622122393801834,-3.695678189321166,-3.0992621941598695,-2.2957283531253836,-2.4213667697339707,-2.094408919587837
133,-3.6385072998724572,-3.783760181510132,-2.861459029483147,-2.3577153539940583,-2.4095717751356136,-2.5557948631887992
134,-3.627279591487602,-3.5971129735686977,-3.688347473071203,-2.8509296657509196,-2.336823322216941,-4.935859324322648
135,-3.5102056424500225,-3.3686529987123652,-3.8250832039804408,-3.18704335289571,-3.065228556449623,-3.863443622084275
136,-3.3724506856744205,-3.3250525006516636,-3.3018547607663637,-2.6305935506049156,-2.4233849918324126,-3.2635826929548233
137,-3.4085179152026,-3.53741167374343,-3.0150823124840387,-2.757511976286093,-3.02026597329658,-2.06429801995146
138,-3.7265697468906054,-3.9142955037026668,-3.141457209156631,-2.7540930806652675,-2.7169611656225783,-3.1021237949574423
139,-3.8437437518091513,-3.71128614477094,-2.9355587791929802,-2.693318201614008,-2.960753786158007,-1.9807050328707179
140,-3.525257550645493,-3.64555314034742,-2.808374745064439,-2.7346801368927083,-2.67380096167877,-3.295592740903605
141,-3.500653259242692,-3.6011638071184433,-3.126994008192992,-2.291952280609574,-2.0875901088321296,-2.88764005014811
142,-3.5993842407742127,-3.2008931480069642,-3.42271802078158,-2.0071734790690217,-1.5585702142852256,-3.4146260888279056
143,-3.891083864748067,-3.9104522983290377,-3.562230072363113,-2.949959690068407,-2.5919279365520693,-4.180245514954073
144,-3.7986722489653477,-3.953398954851204,-3.221773799632341,-2.8713791377311915,-2.716179467421148,-3.8485523154201995
145,-3.804823085415628,-3.7541672010600426,-3.678220740457389,-2.518358822826192,-2.3795961524821507,-3.054122006911437
146,-3.765977809463966,-3.8566739456343977,-3.5107431788474686,-2.87789730860949,-2.8810674071825497,-3.0844849408668438
147,-3.704612034791986,-3.5939920756735244,-3.7257560598263164,-3.336258979166096,-3.047249221113923,-4.493762118977264
148,-3.5607287613939294,-3.7333456844699886,-3.1524994967425815,-2.722232096035103,-2.4080161167912384,-3.7259743779320664
149,-3.406392788377481,-3.410202204281777,-2.9449867626297483,-2.0368746705829657,-2.102781357761248,-2.00414840044697
150,-3.7154602842715616,-3.90669274632766,-3.1606607906731012,-3.175066880436127,-3.0420286808856307,-2.617344726759203
151,-3.382484244561894,-3.2996776726896826,-3.295559903384178,-2.598502337867598,-2.636707134999359,-2.731918448106369
152,-3.4826872216013958,-3.281298520517426,-3.543489941493661,-2.0954205916205213,-1.6177523632151802,-3.7411881604253554
153,-3.777527614530755,-3.8207488947372776,-3.493630428460057,-2.778288481217008,-2.533376413741193,-3.597604121079768
154,-3.5633800750485634,-3.460402401485575,-3.5396429605802933,-2.3622760240574343,-2.0856398164057777,-3.150814736261329
155,-3.632172693886893,-3.735375283268557,-3.313462937640163,-2.9253849475676543,-2.7420062606560593,-3.6681528665836476
156,-3.5796684264223733,-3.543023223517641,-3.4443163968248167,-3.0318962240683147,-2.7914743249462592,-4.035484280913939
157,-3.9322249896565094,-4.062624726462727,-3.5575957251481944,-3.058976968187742,-3.0016785352871245,-3.4994810758826227
158,-3.928852166785389,-4.091460592714071,-2.481152340102033,-2.883934576859015,-3.221127333531509,-1.7063758781336085
159,-3.0591153495764134,-3.2556578080362835,-2.5782806639305456,-2.493257604305731,-2.687736902229863,-2.0108977186923735
160,-3.648536155246125,-3.705336921436823,-3.470169486093126,-2.505016733898934,-2.2287549815719654,-3.690374801340195
161,-3.1433169192473045,-3.1270104406494164,-3.150086267768546,-1.8794202434449123,-1.6929002081429354,-2.7163156810666527
162,-3.7215441735150208,-3.6294018815757982,-3.777177053983084,-2.746748169590653,-2.666982623136311,-3.1016310502910915
163,-3.6751138097287663,-3.7715968778640843,-2.9854942931074646,-2.540314330074306,-2.2964187228131436,-3.454372139799556
164,-3.6054270506926227,-3.6396445705837026,-3.229135491930222,-2.2230911661907604,-1.8978391268186865,-3.497239619426624
165,-3.702327282158498,-3.8814987324462313,-3.2077595093794953,-2.2219373755266836,-2.2056470904762633,-2.3619387976433233
166,-3.8495907260205784,-3.9133123382820356,-3.4960787427428035,-2.4534419777369725,-2.2184385278292407,-3.4000544653810434
167,-3.581497575637613,-3.7658026681941292,-3.0670788492591474,-2.138937086380598,-1.8154622763421342,-3.7508771984317684
168,-3.452517478394846,-3.6216035892368845,-3.0363895285793148,-3.265038312407115,-3.120625054048205,-4.1693554362393
169,-3.7888428581412352,-3.9843923759603577,-3.1981137985643757,-2.96113045857493,-3.1728199932347727,-2.5096884494515943
170,-3.8151135928633524,-4.0116245692782755,-3.2869660615496996,-2.7410134091840495,-2.595612385036512,-3.3320050970585346
171,-2.9114667688191123,-2.9109471550236057,-2.7644694655291655,-1.9232331179925493,-1.6172591505229976,-2.9757193628237784
172,-3.6168042040521673,-3.5530950556461645,-3.4825892579510382,-2.211927562475938,-2.2128230293170925,-2.312039223120547
173,-3.600094725584651,-3.4305330407774304,-3.207311484588082,-2.2832075579519255,-1.9685994990319877,-3.654098740915525
174,-3.780195941171464,-3.764692724347311,-3.822282878121024,-2.7141066395797644,-2.613773017112988,-3.375801103162054
175,-3.8315211397918314,-4.041984845939103,-3.1975737804920783,-2.8139080495877367,-2.648714638789068,-2.876913888035116
176,-3.7763512305251603,-3.797924016575793,-3.593260557881014,-2.417928827022458,-2.2769510488309233,-3.0609479799008463
177,-3.6227525098755304,-3.5527521311384467,-3.6640182746620993,-3.0214591078284556,-2.729502235233188,-4.287076218235234
178,-3.6051529049733704,-3.4796105544829175,-3.121284378688915,-3.343012970346619,-3.3131567937721957,-2.8186467420236014
179,-3.242205643968827,-2.975738907001853,-3.59195117278788,-1.976738913095481,-1.8431767782380575,-2.8165169843973104
180,-3.764116814420853,-4.121491795953566,-2.948068018489924,-3.0998202905272922,-3.207801225082957,-2.944207089892575
181,-3.802590174801285,-4.016206092594671,-3.294484043179608,-3.1524413480389204,-3.4023004348084176,-2.535625737816688
182,-3.4105008283166467,-3.363444448995886,-3.4602841434352962,-2.446856902398789,-2.09527442278234,-3.7591740754311913
183,-3.3380776538675483,-3.15782786864174,-3.378133760599593,-1.9641343974024352,-1.6259883293468782,-2.881373148619627
184,-3.654993209809785,-3.5706014339321004,-3.379278099320755,-3.156899165942624,-2.804888915876701,-4.5185226951327335
185,-3.4926807334881405,-3.5574719187110504,-3.3123938006740543,-2.1574965498674143,-1.8333056714563825,-3.2903599756704835
186,-3.5400255751283822,-3.512152357237429,-3.3658862337180295,-2.1759460330128575,-2.245503392642622,-2.065083693390586
187,-3.8761101779449167,-3.978292233558787,-3.484213235009123,-2.5087959342278623,-2.2080431506958442,-4.2446116029253265
188,-3.7605944557798843,-3.7462964827915632,-3.5815177928087625,-2.329487696437911,-2.2521691529381607,-2.732205449303362
189,-3.705861631076205,-3.6742075503403306,-3.4895778405724744,-2.9810533377865673,-2.7023946928356763,-2.9998199799690752
190,-3.4880787230242762,-3.5532337998888415,-3.138077797935564,-2.9022319347568084,-2.6932748496224037,-3.7703988996732964
191,-3.6752187623403927,-3.645648108521202,-3.735150642127337,-2.1579089242864242,-1.8441120856578586,-3.525412330906529
192,-3.6924023930297043,-3.5800751364856476,-3.4174344153924943,-2.609451838300436,-2.1812200649573854,-4.23814642249106
193,-3.2897834344543586,-3.211902939330333,-3.3000365964906235,-2.4576325835862476,-2.24561100329917,-3.3121760105285145
194,-3.441854736262546,-3.4234703617983766,-3.1530353985708035,-2.2003925090871292,-1.994225060018768,-3.022966525341977
195,-3.6414964883549943,-3.801053360026362,-3.2486825829097503,-2.738383218214537,-2.8010438882883966,-2.724580204418895
196,-3.715979368878201,-3.6840048090407818,-3.6949778131353024,-3.01934015667002,-2.777190791989177,-4.346982955140415
197,-3.28516869547126,-3.2484525373858033,-3.1635020248466432,-2.103661756689816,-2.1320218206521706,-2.1938330994943622
198,-3.641365983512287,-3.8106736476583962,-3.0762844694752065,-2.714980529873626,-2.785633426877811,-2.8128908499507905
199,-3.3056080443529106,-3.1583534837662914,-3.425971112992541,-2.082830403268922,-1.5017461314027893,-4.238169738288849
200,-3.6719289740109686,-3.8411853674713554,-3.0296486737848674,-2.7065090966967587,-2.6119025447321804,-3.3641279788445972
201,-3.753694488466163,-3.85072992681157,-3.4473915157662933,-3.170388544252887,-2.8909549341859333,-3.4204406700268244
202,-3.208811374229281,-3.0090856712716043,-3.396284968606769,-1.6551061203326256,-1.5373025783848395,-2.248765620074257
203,-2.9855271757601956,-2.5417444347812745,-3.1718107643627946,-1.4964352294503527,-1.0906419932708924,-3.273356419219094
204,-3.3687919316907116,-3.380221383327608,-3.3271823581297197,-3.336284060180347,-3.249350358372497,-3.236573554888129
205,-3.8221249046360435,-3.8690235485236313,-3.423700386158536,-3.5184792006876515,-3.308619976980601,-3.9710075909792533
206,-3.3646845236578793,-3.313000478619497,-3.508255351476563,-1.7293450457310342,-1.5048254964881345,-3.0597422780026076
207,-3.7124810948339713,-3.8220466186505972,-3.0933284020499174,-2.8041607234260106,-2.6268664549131313,-3.4355295515895374
208,-2.9965929182624236,-2.819203375237099,-2.087983471737204,-2.0989368229639562,-2.105910282734237,-1.3625090362522345
209,-3.6234383592777615,-3.661636386422179,-3.441214584554766,-2.6241107087976547,-2.6725675573425587,-2.6329566077066784
210,-3.26156795899519,-3.205311864140515,-3.2114117954108927,-2.117595019087955,-1.924863858545178,-3.112388712164308
211,-3.825828582526746,-3.8206997397353972,-3.516473597675666,-2.4262721226531254,-1.9570076497819882,-4.048834425180592
212,-3.8311752689229177,-3.7320629508539716,-3.8628902315829965,-2.322386550453553,-1.7061674364826116,-4.20685623730249
213,-3.7277573113017466,-3.5561417612648127,-3.765242224067386,-3.1266610508268546,-2.725214313038083,-4.920637866867638
214,-3.8960158160227096,-3.861419791893939,-3.7825532865044162,-2.7208938504015725,-2.6576767240496295,-3.013949938962761
215,-3.797126956168967,-3.9806513056260577,-3.309188320974497,-3.100162761734692,-2.8647735328482398,-3.6511105428546866
216,-3.47935232317366,-3.3954038493402314,-3.284069117545553,-2.772593805498636,-2.3843389646111133,-4.335352769656622
217,-3.374574093269288,-3.313283933531663,-3.183649598558147,-2.3893510614179587,-1.89282618140914,-3.8843951793826803
218,-3.552466132271766,-3.5131319790264666,-3.217443454502226,-2.246548985068215,-1.898098495580712,-3.450000152819465
219,-3.7775431609602266,-3.803399197574198,-3.219784040273629,-1.94705541337769,-1.9624014756776658,-1.9496546884167862
220,-3.9121486672777266,-4.053838800972777,-3.0163002969641717,-3.238579522270662,-3.3232960968868674,-2.183481988280083
221,-3.5341118291075855,-3.23467357737076,-3.59248632638417,-2.3542814368329665,-1.86242992147481,-3.840274234531049
222,-3.748211133559828,-3.645059560477793,-3.6174448667474524,-2.497674082557716,-2.218635224237483,-3.8363280994108964
223,-3.3353947058204327,-3.4849053483351873,-2.9803593774540116,-2.09536254331036,-1.9981461475819806,-2.468646431782947
224,-3.5778388516553314,-3.5257309821971603,-3.330456403092467,-2.410385729264518,-2.135835258458709,-3.7301673950284284
225,-3.5582638255934635,-3.584780965865805,-3.483037163491543,-2.222078282778064,-2.0670157912177505,-3.5784440671160995
226,-3.8157891706711307,-3.9306818084761974,-3.4896753507489366,-2.713662988673284,-2.5131985329445854,-3.5977255703418525
227,-3.6754599811217226,-3.699151820703092,-3.545709164422186,-2.57249071050254,-2.4591585035510244,-3.2075715748985854
228,-3.295673277773512,-3.481880539258275,-2.833536371958209,-2.359954850057798,-2.2993312694069408,-2.6071436242363126
229,-3.4046416400282355,-3.469640544717075,-3.188920209959164,-2.913878780810289,-3.007138897453738,-2.923104759527128
230,-3.737476161027147,-3.659562341216496,-3.78179916242093,-2.4568782723111147,-2.2092006092462686,-3.624080560944061
231,-3.5570595766227044,-3.4107487429144765,-3.413306723839904,-2.569099051433911,-2.227479690646474,-2.9246293553336433
232,-3.26507658368961,-3.179760302298401,-3.339281374443843,-2.4312934202138003,-1.9601781409883234,-3.926669348290702
233,-3.2470970395843564,-3.632454618087841,-1.7358183619749838,-2.1113398512043045,-2.1987734375645536,-1.6615712588340281
