scene	target	cand	class_1	repro	picked	max_secs	detail_1
c2-1-limit	opp_jxm35_lob	104	正解と一致	2 回の実行で同じ		0.004	
c2-1-limit	opp_sashankzade_lob	96	正解と一致	2 回の実行で同じ		0.005	
c2-1-limit	opp_daniyalmlk_slippage	105	結果なし	結果なし		0.0	adapter: DaniyalMlk/slippage(6985edb): 注文・板・約定の口が無く、影響の関数を選ばない場面を渡せない(影響の関数と執行の予定の費用の模擬だけ)
c2-1-limit	opp_sarthak_execsim	33	不一致	2 回の実行で同じ		0.003	first_fill_t.o1: 期待 ge 1767571200020000000 / 出力 1767571200010000000
c2-1-limit	opp_thirupathikannan_execsim	35	結果なし	結果なし		0.0	adapter: thirupathikannan-ai/Optimal-Execution-And-Market-Impact-Simulator(794fa64): 注文・板・約定・取消・遅延・費用・口座の口が無く、影響の関数を選ばない場面を渡せない。執行の口は予定の数量の列を値の列に当てる execute_order と、値に比例する影響の関数だけ。試したこと(道具の公開の口を実際に読んだ): src.execution.execute_order(prices: numpy.ndarray, schedule: numpy.ndarray, market_parameters, sid
c2-1-limit	opp_sigc	107	結果なし	結果なし		0.0	実行が行を残さなかった(開始 20:25:15 UTC、終わり 20:25:15 UTC): FileNotFoundError: [Errno 2] No such file or directory: '/tmp/claude-0/-home-user-trade/17c10364-8019-48da-af27-038caa7b187a/scratchpad/bt/venvs/item_0/c107/bin/python'
c2-1-limit	opp_pytrendfollow	87	結果なし	結果なし		0.0	adapter: PyTrendFollow(439232ae): 注文(種類・値・数量・時刻)・板・約定の列を渡す口が無い(建玉の系列と値の系列だけを受け、手数料は枚数あたりの定数)。口は建玉と値の系列を丸ごと受ける accountCurve だけで、注文・約定・遅延・口座の口が無い。試したこと(道具の公開の口を実際に読んだ): trading.accountcurve.accountCurve.__init__(self, portfolio, capital=500000, positions=None, panama_prices=None, nofx=False, portfolio
c2-1-limit	opp_finmarketpy	54	結果なし	結果なし		0.0	対象を読み込めない: ModuleNotFoundError: No module named 'plotly.figure_factory._ohlc' /     from plotly.figure_factory._ohlc import (_DEFAULT_INCREASING_COLOR, / ModuleNotFoundError: No module named 'plotly.figure_factory._ohlc'
c2-1-limit	opp_pysystemtrade	3	不一致	2 回の実行で同じ		0.0	status.o1: 期待 filled / 出力 canceled; filled.o1: 期待 1.0 / 出力 0.0; avg_px.o1: 期待 9990.0 / 出力に無い(KeyError: 'no fill for o1'); first_fill_t.o1: 期待 ge 1767571200020000000 / 出力に無い(KeyError: 'no fill for o1')
c2-1-limit	opp_fast_trade	10	結果なし	結果なし		0.001	adapter: fast-trade 2.1.0: 注文(種類・値・数量・時刻)・板・約定の列を渡す口が無い(条件の表で残高の全部を足の終値で売買する)。口は OHLCV の表に入りと出の条件の表を当てる run_backtest だけで、注文の種類・値・数量・時刻・遅延・口座の口が無い。試したこと(道具の公開の口を実際に読んだ): fast_trade.run_backtest.run_backtest(backtest: dict, df: pandas.DataFrame = Empty DataFrame Columns: [] Index: [], summary=True, pr
c2-1-limit	opp_pybotters	12	結果なし	結果なし		0.0	adapter: pybotters 1.11.2: 検証の機関が無い(注文は取引所の口座と鍵で本物の取引所へ送る口だけで、この場面集は鍵を使わない)。取引所の API の client(署名つきの HTTP・websocket と DataStore)で、模擬の時刻・照合・約定・遅延・口座の模擬が無い。試したこと(道具の公開の口を実際に読んだ): pybotters の公開の名前: ['Auth', 'BinanceCOINMDataStore', 'BinanceSpotDataStore', 'BinanceUSDSMDataStore', 'BitMEXDataStore', 'Bit
c2-1-limit	opp_basana	1	正解と一致	2 回の実行で同じ		0.002	
c2-1-limit	opp_vnpy@tick	20	不一致	2 回の実行で同じ		0.004	status.o1: 期待 filled / 出力 open; filled.o1: 期待 1.0 / 出力 0.0; avg_px.o1: 期待 9990.0 / 出力に無い(KeyError: 'no fill for o1'); first_fill_t.o1: 期待 ge 1767571200020000000 / 出力に無い(KeyError: 'no fill for o1')
c2-1-limit	opp_vnpy@bar	20	正解と一致	2 回の実行で同じ		0.003	
c2-1-limit	opp_quantcore	34	結果なし	結果なし		0.0	adapter: QuantCore 1.0.0: 公開の口に limit が無い
c2-1-limit	opp_luczinsritter	16	結果なし	結果なし		0.0	adapter: Luczinsritter/event_driven_backtesting_engine(2092992): 公開の口に limit が無い
c2-1-limit	opp_lib_pybroker	4	不一致	2 回の実行で同じ		0.015	status.o1: 期待 filled / 出力 open; filled.o1: 期待 1.0 / 出力 0.0; avg_px.o1: 期待 9990.0 / 出力に無い(KeyError: 'no fill for o1'); first_fill_t.o1: 期待 ge 1767571200020000000 / 出力に無い(KeyError: 'no fill for o1')
c2-1-limit	opp_rqalpha	53	不一致	2 回の実行で同じ		0.007	status.o1: 期待 filled / 出力 rejected; filled.o1: 期待 1.0 / 出力 0.0; avg_px.o1: 期待 9990.0 / 出力に無い(KeyError: 'no fill for o1'); first_fill_t.o1: 期待 ge 1767571200020000000 / 出力に無い(KeyError: 'no fill for o1')
c2-1-limit	opp_predictivedev_tradesim	37	正解と一致	2 回の実行で同じ		0.001	
c2-1-limit	opp_homerun	91	不一致	2 回の実行で同じ		0.007	status.o1: 期待 filled / 出力 open; filled.o1: 期待 1.0 / 出力 0.0; avg_px.o1: 期待 9990.0 / 出力に無い(KeyError: 'no fill for o1'); first_fill_t.o1: 期待 ge 1767571200020000000 / 出力に無い(KeyError: 'no fill for o1')
c2-1-limit	opp_aat	65	正解と一致	2 回の実行で同じ		0.001	
c2-1-limit	opp_pineforge	70	結果なし	結果なし		0.0	adapter: PineForge(5e62602c) native C API: 相場の入力は時間枠の区切りに乗った足だけで、約定 1 件ごとの足(約定の時刻)は核が拒む(ERROR run rc=-11 native confirmed bar timestamp is not a canonical slot label)
c2-1-limit	opp_ziplime	6	結果なし	結果なし		0.0	adapter: ziplime 1.19.16: 足の幅 [0] ns を回す口が無い。回したのは 1 分と 1 日の emission_rate だけ(1 秒は最小の 2 日の区間で 240 秒以内に終わらなかった。約定 1 件ごとの足は emission の格子に乗らない)
c2-1-limit	opp_barter	61	結果なし	結果なし		0.0	adapter: barter-rs(barter 0.14) backtest + ExecutionConfig::Mock: 公開の口に limit が無い
c2-1-limit	opp_oddpool_bench	90	正解と一致	2 回の実行で同じ		0.001	
c2-1-limit	opp_pm_backtester	92	対応なし	2 回の実行で同じ		0.0	ValidationError: 1 validation error for OrderIntent limit_price   Input should be less than or equal to 1 [type=less_than_equal, input_value=9990.0, input_type=float]     For further information visit https://errors.p
c2-1-limit	opp_flashalpha_fillsim	32	結果なし	結果なし		0.0	adapter: flashalpha-fill-simulator(f51de9f) fillsim: 単一の銘柄の注文・板・約定の列を渡す口が無い(埋まりを判定する対象は 2 本の脚のスプレッドとオプションの気配の表だけ)。口は 2 本の脚のオプションの垂直スプレッド(Spread = short / long の Leg と limit_credit)の指値の足ごとの約定判定だけ。試したこと(道具の公開の口を実際に読んだ): fillsim.entry.simulate_fill(bar_ts: 'datetime', chain: 'ChainSnapshot', candidates
c2-1-limit	opp_polymarket_fillmodel	95	結果なし	結果なし		0.0	adapter: polymarket-fill-model(dec7f0f) fillmodel.py: 場面の注文(値・数量・時刻・取消)を渡す口が無い(出し方は道具の中で固定)。口は固定の出し方(最良の買い気配に 5 株で並び、気配が動けば並び直す)の埋まりを板と約定の列から数える simulate だけ(fillmodel.py 202-252 行)。試したこと(道具の公開の口を実際に読んだ): fillmodel.simulate(ser, trades, side: 'str', ignore_queue: 'bool' = False) / fillmodel.hits(trad
c2-1-limit	opp_vectorbt	73	結果なし	結果なし		0.0	adapter: vectorbt 1.1.0: 公開の口に limit が無い
c2-1-limit	opp_qlib	21	結果なし	結果なし		0.0	adapter: Qlib(pyqlib 0.9.7) qlib.backtest: 注文の型 ['limit']・取消・訂正を渡す口が無い(Order は数量と向きと区切りの時刻だけ)。口は時間枠(分・日・週・月)の区切りごとに、数量と向きだけの Order をその区切りの約定値で埋める Exchange で、市場影響は impact_cost × (約定額 / 区切りの総約定額)^2 の費用。試したこと(道具の公開の口を実際に読んだ): Order の欄 ['stock_id', 'amount', 'direction', 'start_time', 'end_time', 'deal_
c2-1-limit	opp_bt	5	結果なし	結果なし		0.0	adapter: bt 1.2.3: 公開の口に limit が無い
c2-1-limit	opp_qtradex	72	結果なし	結果なし		0.0	adapter: QTradeX 1.8.0: 場面の注文(数量・時刻・種類)を渡す口が無い(買いの大きさは使う通貨の額、値と時刻は backtest がろうそく足で決める)。口はろうそく足ごとの信号(Buy / Sell / Thresholds)で財布の残高を maxvolume まで売り買いする backtest で、手数料は財布の率 1 つ(backtest.py の trade・perform_trade)。試したこと(道具の公開の口を実際に読んだ): qtradex.core.backtest.backtest(bot, data, wallet=None, plot=True, 
c2-1-limit	opp_repro_57_wondertrader	57	正解と一致	2 回の実行で同じ		0.001	
c2-1-limit	opp_repro_94_mote	94	正解と一致	2 回の実行で同じ		0.0	
c2-1-postonly	opp_backtrader	2	結果なし	結果なし		0.0	adapter: Backtrader 1.9.78.123: 公開の口に post_only が無い
c2-1-postonly	opp_zipline_reloaded	18	結果なし	結果なし		0.0	adapter: zipline-reloaded 3.1.1: 公開の口に post_only が無い
c2-1-postonly	opp_hftbacktest	23	正解と一致	2 回の実行で同じ	選んだ	0.001	
c2-1-postonly	opp_mihircoding_lob	98	結果なし	結果なし		0.0	adapter: mihircoding/limitOrderBook(6cc0536): 公開の口に post_only が無い
c2-1-postonly	opp_nickgardi_orderbooksim	99	結果なし	結果なし		0.0	adapter: NickGardi/orderbooksim: 公開の口に post_only が無い
c2-1-postonly	opp_3yit_lob	102	結果なし	結果なし		0.0	adapter: 3yit/Limit-Order-Book-Simulator(8e5e9d24): 公開の口に post_only が無い
c2-1-postonly	opp_isaaccheng_obsim	103	結果なし	結果なし		0.0	adapter: IsaacCheng9/order-book-simulator: 公開の口に post_only が無い
c2-1-postonly	opp_akurkar07_orderbook	101	結果なし	結果なし		0.0	adapter: akurkar07/OrderBook(5673f66a): 公開の口に post_only が無い
c2-1-postonly	opp_jxm35_lob	104	結果なし	結果なし		0.0	adapter: jxm35/LimitOrderBook-MatchingEngine(b5984aac): 公開の口に post_only が無い
c2-1-postonly	opp_sashankzade_lob	96	結果なし	結果なし		0.0	adapter: sashankzade/limit-order-book-matching-engine(0adba7b): 公開の口に post_only が無い
c2-1-postonly	opp_daniyalmlk_slippage	105	結果なし	結果なし		0.0	adapter: DaniyalMlk/slippage(6985edb): 注文・板・約定の口が無く、影響の関数を選ばない場面を渡せない(影響の関数と執行の予定の費用の模擬だけ)
c2-1-postonly	opp_sarthak_execsim	33	結果なし	結果なし		0.0	adapter: SarthakDalmia1/backtesting_execution_simulator(a0a5fcd2): 公開の口に post_only が無い
c2-1-postonly	opp_thirupathikannan_execsim	35	結果なし	結果なし		0.0	adapter: thirupathikannan-ai/Optimal-Execution-And-Market-Impact-Simulator(794fa64): 注文・板・約定・取消・遅延・費用・口座の口が無く、影響の関数を選ばない場面を渡せない。執行の口は予定の数量の列を値の列に当てる execute_order と、値に比例する影響の関数だけ。試したこと(道具の公開の口を実際に読んだ): src.execution.execute_order(prices: numpy.ndarray, schedule: numpy.ndarray, market_parameters, sid
c2-1-postonly	opp_sigc	107	結果なし	結果なし		0.0	実行が行を残さなかった(開始 20:25:15 UTC、終わり 20:25:15 UTC): FileNotFoundError: [Errno 2] No such file or directory: '/tmp/claude-0/-home-user-trade/17c10364-8019-48da-af27-038caa7b187a/scratchpad/bt/venvs/item_0/c107/bin/python'
c2-1-postonly	opp_pytrendfollow	87	結果なし	結果なし		0.0	adapter: PyTrendFollow(439232ae): 注文(種類・値・数量・時刻)・板・約定の列を渡す口が無い(建玉の系列と値の系列だけを受け、手数料は枚数あたりの定数)。口は建玉と値の系列を丸ごと受ける accountCurve だけで、注文・約定・遅延・口座の口が無い。試したこと(道具の公開の口を実際に読んだ): trading.accountcurve.accountCurve.__init__(self, portfolio, capital=500000, positions=None, panama_prices=None, nofx=False, portfolio
c2-1-postonly	opp_finmarketpy	54	結果なし	結果なし		0.0	対象を読み込めない: ModuleNotFoundError: No module named 'plotly.figure_factory._ohlc' /     from plotly.figure_factory._ohlc import (_DEFAULT_INCREASING_COLOR, / ModuleNotFoundError: No module named 'plotly.figure_factory._ohlc'
c2-1-postonly	opp_pysystemtrade	3	結果なし	結果なし		0.0	adapter: PySystemtrade(8958c49c): 公開の口に post_only が無い。注文の口は SimpleOrder(整数の数量・指値)を次の 1 つの市場の値に当てる fill_list_of_simple_orders だけ。試したこと(道具の公開の口を実際に読んだ): systems.accounts.order_simulator.fills_and_orders.fill_list_of_simple_orders(list_of_orders: systems.accounts.order_simulator.simple_orders.ListOfSim
c2-1-postonly	opp_fast_trade	10	結果なし	結果なし		0.0	adapter: fast-trade 2.1.0: 注文(種類・値・数量・時刻)・板・約定の列を渡す口が無い(条件の表で残高の全部を足の終値で売買する)。口は OHLCV の表に入りと出の条件の表を当てる run_backtest だけで、注文の種類・値・数量・時刻・遅延・口座の口が無い。試したこと(道具の公開の口を実際に読んだ): fast_trade.run_backtest.run_backtest(backtest: dict, df: pandas.DataFrame = Empty DataFrame Columns: [] Index: [], summary=True, pr
c2-1-postonly	opp_pybotters	12	結果なし	結果なし		0.0	adapter: pybotters 1.11.2: 検証の機関が無い(注文は取引所の口座と鍵で本物の取引所へ送る口だけで、この場面集は鍵を使わない)。取引所の API の client(署名つきの HTTP・websocket と DataStore)で、模擬の時刻・照合・約定・遅延・口座の模擬が無い。試したこと(道具の公開の口を実際に読んだ): pybotters の公開の名前: ['Auth', 'BinanceCOINMDataStore', 'BinanceSpotDataStore', 'BinanceUSDSMDataStore', 'BitMEXDataStore', 'Bit
c2-1-postonly	opp_basana	1	結果なし	結果なし		0.0	adapter: Basana 1.11: 公開の口に post_only が無い
c2-1-postonly	opp_vnpy@tick	20	結果なし	結果なし		0.0	adapter: VnPy 4.4.0 / vnpy_ctastrategy 1.4.1(TICK の型): 公開の口に post_only が無い
c2-1-postonly	opp_vnpy@bar	20	結果なし	結果なし		0.0	adapter: VnPy 4.4.0 / vnpy_ctastrategy 1.4.1(BAR の型): 公開の口に post_only が無い
c2-1-postonly	opp_quantcore	34	結果なし	結果なし		0.0	adapter: QuantCore 1.0.0: 公開の口に limit が無い
c2-1-postonly	opp_luczinsritter	16	結果なし	結果なし		0.0	adapter: Luczinsritter/event_driven_backtesting_engine(2092992): 公開の口に limit が無い
c2-1-postonly	opp_lib_pybroker	4	結果なし	結果なし		0.0	adapter: PyBroker 2.0.1: 公開の口に post_only が無い
c2-1-postonly	opp_rqalpha	53	結果なし	結果なし		0.0	adapter: rqalpha 6.4.0: 公開の口に post_only が無い
c2-1-postonly	opp_predictivedev_tradesim	37	不一致	2 回の実行で同じ		0.001	status.o1: 期待 in ['rejected', 'canceled'] / 出力 filled; filled.o1: 期待 0.0 / 出力 1.0
c2-1-postonly	opp_homerun	91	正解と一致	2 回の実行で同じ		0.001	
c2-1-postonly	opp_aat	65	結果なし	結果なし		0.0	adapter: aat(c4a07d41) OrderBook: 公開の口に post_only が無い
c2-1-postonly	opp_pineforge	70	結果なし	結果なし		0.0	adapter: PineForge(5e62602c) native C API: 公開の口に post_only が無い
c2-1-postonly	opp_ziplime	6	結果なし	結果なし		0.0	adapter: ziplime 1.19.16: 公開の口に post_only が無い
c2-1-postonly	opp_barter	61	結果なし	結果なし		0.0	adapter: barter-rs(barter 0.14) backtest + ExecutionConfig::Mock: 公開の口に limit が無い
c2-1-postonly	opp_oddpool_bench	90	正解と一致	2 回の実行で同じ		0.0	
c2-1-postonly	opp_pm_backtester	92	結果なし	結果なし		0.0	adapter: prediction-market-backtester(c77dff7) pm_bt: 公開の口に post_only が無い
c2-1-postonly	opp_flashalpha_fillsim	32	結果なし	結果なし		0.0	adapter: flashalpha-fill-simulator(f51de9f) fillsim: 単一の銘柄の注文・板・約定の列を渡す口が無い(埋まりを判定する対象は 2 本の脚のスプレッドとオプションの気配の表だけ)。口は 2 本の脚のオプションの垂直スプレッド(Spread = short / long の Leg と limit_credit)の指値の足ごとの約定判定だけ。試したこと(道具の公開の口を実際に読んだ): fillsim.entry.simulate_fill(bar_ts: 'datetime', chain: 'ChainSnapshot', candidates
c2-1-postonly	opp_polymarket_fillmodel	95	結果なし	結果なし		0.0	adapter: polymarket-fill-model(dec7f0f) fillmodel.py: 場面の注文(値・数量・時刻・取消)を渡す口が無い(出し方は道具の中で固定)。口は固定の出し方(最良の買い気配に 5 株で並び、気配が動けば並び直す)の埋まりを板と約定の列から数える simulate だけ(fillmodel.py 202-252 行)。試したこと(道具の公開の口を実際に読んだ): fillmodel.simulate(ser, trades, side: 'str', ignore_queue: 'bool' = False) / fillmodel.hits(trad
c2-1-postonly	opp_vectorbt	73	結果なし	結果なし		0.0	adapter: vectorbt 1.1.0: 公開の口に limit が無い
c2-1-postonly	opp_qlib	21	結果なし	結果なし		0.0	adapter: Qlib(pyqlib 0.9.7) qlib.backtest: 注文の型 ['limit']・取消・訂正を渡す口が無い(Order は数量と向きと区切りの時刻だけ)。口は時間枠(分・日・週・月)の区切りごとに、数量と向きだけの Order をその区切りの約定値で埋める Exchange で、市場影響は impact_cost × (約定額 / 区切りの総約定額)^2 の費用。試したこと(道具の公開の口を実際に読んだ): Order の欄 ['stock_id', 'amount', 'direction', 'start_time', 'end_time', 'deal_
c2-1-postonly	opp_bt	5	結果なし	結果なし		0.0	adapter: bt 1.2.3: 公開の口に limit が無い
c2-1-postonly	opp_qtradex	72	結果なし	結果なし		0.0	adapter: QTradeX 1.8.0: 場面の注文(数量・時刻・種類)を渡す口が無い(買いの大きさは使う通貨の額、値と時刻は backtest がろうそく足で決める)。口はろうそく足ごとの信号(Buy / Sell / Thresholds)で財布の残高を maxvolume まで売り買いする backtest で、手数料は財布の率 1 つ(backtest.py の trade・perform_trade)。試したこと(道具の公開の口を実際に読んだ): qtradex.core.backtest.backtest(bot, data, wallet=None, plot=True, 
c2-1-postonly	opp_repro_57_wondertrader	57	結果なし	結果なし		0.0	adapter: WonderTrader MatchEngine(08b230dd)(再現): 公開の口に post_only が無い
c2-1-postonly	opp_repro_94_mote	94	結果なし	結果なし		0.0	adapter: mote/backtest(15bb9f1a)(再現): 公開の口に post_only が無い
c2-1-ioc	opp_backtrader	2	結果なし	結果なし		0.0	adapter: Backtrader 1.9.78.123: 公開の口に IOC が無い
c2-1-ioc	opp_zipline_reloaded	18	結果なし	結果なし		0.0	adapter: zipline-reloaded 3.1.1: 公開の口に IOC が無い
c2-1-ioc	opp_hftbacktest	23	正解と一致	2 回の実行で同じ	選んだ	0.0	
